stream_id,day_date_id,time_of_day_id,user_id,user_name,category_id,language_id,viewer_count,hours_watched
316481134556,20251229,1745,35958947,Squeex,32399,en,4886,1221.5
316192322135,20251229,1745,26490481,summit1g,32399,en,4879,1219.75
315077465171,20251229,1745,44880944,ElmiilloR,21779,es,4063,1015.75
316001999576,20251229,1745,25080754,Pobelter,21779,en,3167,791.75
315037260625,20251229,1745,42351942,Nissaxter,21779,es,3090,772.5
315614732775,20251229,1745,85039743,MrDzinold,32399,pl,2195,548.75
316190138455,20251229,1745,514775924,ArrowCS,32399,en,1678,419.5
315541053796,20251229,1745,253195796,helydia,21779,fr,1647,411.75
315036487505,20251229,1745,23179441,Strippin,21779,en,1466,366.5
315560553827,20251229,1745,64173519,DeadP47_,32399,ru,1215,303.75
316942226139,20251229,1745,114942381,coopertv,32399,en,1169,292.25
316482676572,20251229,1745,126632539,KatEvolved,21779,en,1086,271.5
315610140647,20251229,1745,127361301,ANTILIPSI,21779,el,1084,271.0
315027819990,20251229,1745,1247104409,Csbattles,32399,ru,1082,270.5
315589330679,20251229,1745,48465437,Cowsep,21779,en,942,235.5
316821261786,20251229,1745,178870986,Nickich,21779,en,909,227.25
315541184612,20251229,1745,154691060,Gaethaaan,21779,fr,844,211.0
316764855257,20251229,1745,41467289,Quantum,21779,en,813,203.25
315616244711,20251229,1745,883256731,brics_lemair,32399,ru,787,196.75
315057702356,20251229,1745,159974499,poka,32399,ru,747,186.75
316776132982,20251229,1745,519728942,supplyzk,32399,pt,746,186.5
315590565495,20251229,1745,58098825,FooYa,21779,en,731,182.75
315059036628,20251229,1745,934390554,NeroJeffHardy120,32399,ru,701,175.25
315559681507,20251229,1745,131415728,prcs,32399,pt,690,172.5
315041327574,20251229,1745,115824215,overdrivezzz,32399,ru,643,160.75
315283638898,20251229,1745,29066611,咪咪蛋,21779,zh,623,155.75
316821623386,20251229,1745,126985261,ScrubNoob,21779,en,614,153.5
316778004470,20251229,1745,127863425,Rodil,21779,pt,547,136.75
315608392807,20251229,1745,455113027,DesperateNasus,21779,en,536,134.0
316827898330,20251229,1745,24534372,JimRsng,21779,es,515,128.75
316775615606,20251229,1745,93529406,f0rsakenwOw,21779,pt,500,125.0
316190097879,20251229,1745,59189213,Jayden,21779,en,453,113.25
315059975380,20251229,1745,265475151,Compl1cs,32399,ru,449,112.25
316603574368,20251229,1745,479871159,quante,21779,en,447,111.75
315059532116,20251229,1745,512901888,s_chilla,32399,ru,442,110.5
316776386166,20251229,1745,102610592,Vitokng,32399,pt,438,109.5
316481541724,20251229,1745,146662083,dunlol,21779,en,423,105.75
315616872039,20251229,1745,76661869,SatoriusLOL,21779,de,391,97.75
316601317856,20251229,1745,618185400,chenchen53,21779,en,391,97.75
315040161494,20251229,1745,252296849,rodos1k_,32399,ru,387,96.75
316823559770,20251229,1745,40968796,Lawlman,21779,en,382,95.5
316190699607,20251229,1745,104220066,LolElekktro,21779,en,380,95.0
315037519057,20251229,1745,47584559,v1NCHENSO7,32399,es,355,88.75
316910472820,20251229,1745,1047952456,steefao,32399,pt,354,88.5
316912336500,20251229,1745,788802429,branuelzin,32399,es,351,87.75
315013615829,20251229,1745,805929546,Cozart_2s1,32399,ru,344,86.0
315770321637,20251229,1745,87615428,iBALLY,32399,hu,339,84.75
316767219929,20251229,1745,26551727,mang0,21779,en,328,82.0
315541596004,20251229,1745,135100321,Gauthierlele,32399,fr,326,81.5
316854683381,20251229,1745,1151430332,shuazon,32399,pt,315,78.75
315591153399,20251229,1745,130236689,Bluwunk,21779,en,315,78.75
316483241052,20251229,1745,228428255,Jonnijuro,21779,es,306,76.5
316912550772,20251229,1745,663835079,guuizera1,32399,pt,305,76.25
316484915036,20251229,1745,42686036,lolmechs,21779,es,304,76.0
315040975062,20251229,1745,442652832,sbolttt,32399,ru,301,75.25
315539603044,20251229,1745,75891532,Michel,32399,pt,293,73.25
315542004068,20251229,1745,157564460,Laxxuz,21779,es,293,73.25
315853475174,20251229,1745,1020972504,hyperi1cs2,32399,en,287,71.75
316857667189,20251229,1745,173162545,waveigl,32399,pt,281,70.25
315013529301,20251229,1745,164695671,sunshineg0d,32399,ru,279,69.75
316484130908,20251229,1745,407427691,huncho,21779,en,278,69.5
315510088162,20251229,1745,152134684,Rayming,21779,fr,271,67.75
315770308965,20251229,1745,992986208,triplelift,21779,en,271,67.75
316000756312,20251229,1745,113987583,TyG_,21779,en,269,67.25
316481883612,20251229,1745,123889650,Hopefulx,21779,en,265,66.25
316191014615,20251229,1745,118376649,raeibon,21779,en,255,63.75
316911977972,20251229,1745,92229745,NicoleDiretora,21779,pt,248,62.0
315768811493,20251229,1745,137629169,Sydios,21779,de,247,61.75
316777254262,20251229,1745,42990999,Buggax,21779,es,244,61.0
316603160800,20251229,1745,957836112,war_hamster6,21779,en,229,57.25
316858808693,20251229,1745,638647055,DAREH77,32399,es,224,56.0
316778813430,20251229,1745,123144601,zzzelito,32399,pt,221,55.25
315275431153,20251229,1745,580964452,海鮮ドンマグロ,21779,ja,218,54.5
316775233910,20251229,1745,130012553,Manndyl,32399,pt,218,54.5
315054579924,20251229,1745,230055020,Keksereslol,21779,en,215,53.75
315283489522,20251229,1745,242312700,ねすてぃー,21779,ja,209,52.25
316777457014,20251229,1745,1143065749,Flapjacklol1,21779,pt,208,52.0
315283463154,20251229,1745,732839541,ゆきふくまる,21779,ja,206,51.5
316856226165,20251229,1745,230095795,pepezao,32399,pt,202,50.5
316543047774,20251229,1745,41568380,emiliacosplay,21779,en,200,50.0
315539070052,20251229,1745,179093473,PopstarGwen,21779,en,195,48.75
316923219675,20251229,1745,1331826557,Nightblue247,21779,en,191,47.75
315506020578,20251229,1745,151874024,rhobalas_lol,21779,fr,190,47.5
315059700052,20251229,1745,123370892,discoStar,32399,pl,185,46.25
316541647070,20251229,1745,881094525,Ann1ed,21779,es,179,44.75
316826649818,20251229,1745,46422375,pastelero_yuuta,21779,es,178,44.5
315771342693,20251229,1745,633838285,h4rncs,32399,en,174,43.5
316777904502,20251229,1745,526104240,japaskins,32399,pt,173,43.25
316910563188,20251229,1745,169131601,Guaxilol1,21779,pt,172,43.0
315604652903,20251229,1745,1027557235,BatemanL9,21779,en,169,42.25
315059957332,20251229,1745,1227505164,IIKKA_ARTTURI,32399,fi,169,42.25
316001075800,20251229,1745,44019612,anniebot,21779,en,169,42.25
316540023646,20251229,1745,57659145,duoking1,21779,en,165,41.25
