category_id,igdb_id,genre_id
21779,115,12
21779,115,15
21779,115,36
18122,123,12
18122,123,31
12839,364,12
12839,364,15
12839,364,16
24241,386,12
1494,621,5
18808,847,5
18808,847,31
32982,1020,5
32982,1020,10
32982,1020,31
27546,1184,5
27546,1184,13
27546,1184,15
27546,1184,33
138585,1279,15
138585,1279,16
138585,1279,35
71375,1595,5
71375,1595,12
71375,1595,13
71375,1595,31
71375,1595,32
33214,1905,5
33214,1905,12
33214,1905,13
33214,1905,15
33214,1905,31
65632,2117,5
65632,2117,12
65632,2117,13
65632,2117,24
65632,2117,31
65632,2117,32
91423,2368,12
91423,2368,31
66170,2903,5
66170,2903,12
66170,2903,31
31339,3189,12
31339,3189,13
31339,3189,32
263490,3277,5
263490,3277,12
263490,3277,31
263490,3277,32
18846,3278,13
18846,3278,32
386821,6292,12
386821,6292,15
386821,6292,25
386821,6292,31
500188,7291,5
500188,7291,13
460630,7360,5
460630,7360,24
19619,9596,12
19619,9596,31
68351,9608,12
68351,9608,13
68351,9608,15
68351,9608,24
68351,9608,31
30921,11198,10
30921,11198,14
30921,11198,32
491931,15536,5
491931,15536,12
491931,15536,13
491931,15536,24
491168,15707,11
491168,15707,15
491168,15707,24
491168,15707,35
23020,17269,8
23020,17269,13
23020,17269,31
491487,18866,15
417528,19698,12
493959,25076,5
493959,25076,12
493959,25076,31
497057,25657,5
497057,25657,12
497057,25657,31
497585,27384,15
497585,27384,31
497585,27384,32
497509,27420,12
497509,27420,15
497509,27420,31
497509,27420,32
493057,27789,5
499003,33615,13
499003,33615,31
29452,45517,35
498592,71001,2
498592,71001,31
499634,76760,9
494184,79392,15
494184,79392,31
494184,79392,36
459931,79824,12
459931,79824,31
11103,81358,9
11103,81358,15
11103,81358,35
895418825,88894,9
895418825,88894,15
511224,114795,5
511224,114795,24
511391,115289,8
511391,115289,31
511391,115289,32
515621,116781,5
515621,116781,32
509511,116975,10
509511,116975,13
512953,119133,12
512953,119133,31
512923,119171,12
512923,119171,15
512923,119171,16
513181,119277,12
513181,119277,31
513143,120176,15
513143,120176,16
513143,120176,24
513143,120176,35
515024,125165,12
515024,125165,25
515025,125174,5
1702520304,125642,12
1702520304,125642,25
1702520304,125642,31
516575,126459,5
516575,126459,24
515537,126512,13
515537,126512,32
515586,127697,12
515586,127697,31
515586,127697,32
512710,131800,5
518018,134612,5
518018,134612,31
27471,135400,13
27471,135400,31
27471,135400,33
464339927,185258,5
55453844,191692,4
55453844,191692,33
456845141,200551,12
456845141,200551,25
456845141,200551,31
623291583,204034,5
623291583,204034,24
1630982727,214414,12
1630982727,214414,31
735904419,250509,5
735904419,250509,12
735904419,250509,13
735904419,250509,31
735904419,250509,32
1282866981,262186,5
1282866981,262186,24
1264310518,294041,5
401587136,298915,5
401587136,298915,15
401587136,298915,24
2132205352,301298,5
2132205352,301298,15
2132205352,301298,36
36799602,305152,12
36799602,305152,31
512701575,310923,4
512701575,310923,12
512701575,310923,13
512701575,310923,31
512701575,310923,32
168648543,317407,5
982348888,325591,12
602959317,325609,15
602959317,325609,31
551919008,329146,13
551919008,329146,14
104597796,334542,31
104597796,334542,32
272952894,342382,13
272952894,342382,14
272952894,342382,15
2012789438,348220,5
624536948,353848,13
624536948,353848,14
2112738408,353901,13
2112738408,353901,14
1259685744,370562,32
757932712,374688,32
805991834,379608,10
805991834,379608,13
805991834,379608,31
805991834,379608,32
10322,418,12
10322,418,31
11988,427,12
11988,427,31
6521,732,5
6521,732,10
6521,732,31
32345,1011,5
32345,1011,12
9435,1026,9
9435,1026,31
11557,1029,9
11557,1029,31
12482,1030,9
12482,1030,31
1229,1070,8
1229,1070,31
2692,1074,8
2692,1074,31
7595,1103,5
7595,1103,8
7595,1103,31
19357,1183,12
19357,1183,31
10081,1219,12
10081,1219,31
65876,1877,5
65876,1877,12
65876,1877,31
66366,2165,5
66366,2165,13
66366,2165,24
13263,2584,12
13263,2584,13
13263,2584,15
31336,3119,12
31336,3119,31
9618,4567,31
9618,4567,35
29000,4905,5
271304,5574,5
271304,5574,12
271304,5574,13
271304,5574,15
271304,5574,31
271304,5574,32
32502,5587,5
32502,5587,11
32502,5587,13
32502,5587,24
19554,8204,10
19554,8204,13
19554,8204,14
489776,9630,5
489776,9630,12
19976,9804,8
19976,9804,12
19976,9804,31
490377,11137,13
490377,11137,31
460951,11642,7
460951,11642,8
460951,11642,32
460951,11642,33
490147,14593,8
490147,14593,31
490147,14593,32
490744,17000,12
490744,17000,13
490744,17000,15
490744,17000,31
490744,17000,32
510389,18090,12
510389,18090,15
510389,18090,31
510389,18090,32
293693714,19686,5
293693714,19686,31
490948,25838,4
490948,25838,12
490948,25838,13
490948,25838,15
490948,25838,31
490948,25838,32
490100,26128,12
490100,26128,25
490100,26128,31
495811,31712,31
495811,31712,32
496902,40477,12
496902,40477,15
496902,40477,16
496902,40477,31
496902,40477,32
496902,40477,35
497497,55945,5
497497,55945,15
497497,55945,36
498417,69547,32
510202,76263,5
510202,76263,13
510202,76263,31
510202,76263,32
504461,90101,4
504461,90101,8
29106,101440,5
29106,101440,12
29106,101440,31
506246,103020,5
506246,103020,12
506416,103281,5
506416,103281,31
509538,109462,13
511295,115078,5
511295,115078,15
511295,115078,36
512980,119313,8
512980,119313,10
512980,119313,32
956713971,123528,12
956713971,123528,13
956713971,123528,25
956713971,123528,31
956713971,123528,32
514858,124700,15
514858,124700,36
774680424,126460,4
1967084783,127044,25
1967084783,127044,31
518144,127165,31
518144,127165,32
1820378900,132181,5
1820378900,132181,9
1820378900,132181,31
516588,133581,12
687129551,133807,10
687129551,133807,14
687129551,133807,33
518379,135381,15
518379,135381,36
512864,135842,15
512864,135842,36
1095275650,136625,12
1095275650,136625,31
982017546,151467,12
982017546,151467,13
982017546,151467,31
1036710512,151665,5
1036710512,151665,12
1036710512,151665,25
1036710512,151665,31
1036710512,151665,32
41917829,152202,31
749092120,152257,12
749092120,152257,15
749092120,152257,16
749092120,152257,24
749092120,152257,31
749092120,152257,32
1119642287,159298,13
1119642287,159298,15
1119642287,159298,35
329951934,182241,12
329951934,182241,16
1541524618,185724,10
1541524618,185724,13
1541524618,185724,31
1541524618,185724,32
209738946,202956,12
209738946,202956,31
1441208453,204538,5
1441208453,204538,12
1441208453,204538,15
1441208453,204538,31
2009321156,207266,5
2009321156,207266,12
2009321156,207266,24
2009321156,207266,31
1910103699,214417,5
843600651,216718,12
843600651,216718,13
843600651,216718,32
538054672,217590,4
737987407,248643,12
737987407,248643,31
744803366,248933,13
744803366,248933,15
744803366,248933,32
745589378,251833,15
745589378,251833,16
745589378,251833,32
745589378,251833,35
1535225577,277143,5
1535225577,277143,31
1286077738,279661,12
1286077738,279661,25
1286077738,279661,31
2094865572,282566,12
2094865572,282566,15
2094865572,282566,31
2094865572,282566,36
997367275,288327,12
997367275,288327,31
801541637,314178,11
801541637,314178,36
98473926,327405,32
1088478699,330673,10
1088478699,330673,13
1088478699,330673,32
1088478699,330673,33
197489698,331188,12
1294658629,332780,15
1294658629,332780,32
1826300051,338067,10
114524791,339985,12
114524791,339985,15
114524791,339985,35
1081998272,349524,8
1081998272,349524,31
1081998272,349524,32
217432230,350249,4
217432230,350249,12
217432230,350249,15
217432230,350249,16
217432230,350249,31
1296761647,364702,13
1296761647,364702,31
1296761647,364702,32
1848745913,371393,5
1517377137,373580,31
1517377137,373580,32
732181529,376966,12
732181529,376966,13
732181529,376966,31
732181529,376966,32
23453,16,5
23453,16,12
21934,114,12
11989,230,11
11989,230,15
15229,318,12
15229,318,31
8090,421,12
8090,421,31
11282,425,12
11282,425,31
11282,425,35
26559,501,25
26559,501,31
19006,625,5
19006,625,31
1468,974,5
1468,974,31
12870,1715,8
12870,1715,31
31376,1879,8
31376,1879,12
31376,1879,13
31376,1879,15
31376,1879,31
31376,1879,32
29307,1911,12
29307,1911,25
29307,1911,31
368205,2276,9
368205,2276,31
21465,3012,7
21465,3012,32
21465,3012,33
66410,3097,2
66410,3097,9
66410,3097,31
369252,3212,12
369252,3212,13
458781,3225,12
458781,3225,13
458781,3225,31
458781,3225,32
458781,3225,33
15621,5733,31
129102,6961,5
129102,6961,9
129102,6961,31
32959,7313,36
418016,8347,5
418016,8347,13
418016,8347,15
418016,8347,31
418016,8347,32
20050,8747,12
460090,9254,31
460090,9254,32
460316,10233,4
460316,10233,8
460316,10233,32
460316,10233,33
490292,11133,12
490292,11133,31
489335,11737,9
489335,11737,13
489335,11737,31
489335,11737,32
488634,17832,13
488634,17832,15
488634,17832,31
488634,17832,32
20596,18337,12
20596,18337,15
20596,18337,31
493815,19542,13
493815,19542,15
493815,19542,32
492934,19562,5
492934,19562,9
492934,19562,31
29056,19795,12
29056,19795,31
489111,23622,12
489111,23622,15
489111,23622,16
491381,24985,13
491381,24985,14
491381,24985,15
491381,24985,24
491381,24985,32
494683,26381,5
494683,26381,13
494683,26381,14
494683,26381,15
494683,26381,31
20922,27522,2
20922,27522,12
461221,28107,4
461221,28107,12
461221,28107,31
511701,28489,5
511701,28489,13
511701,28489,24
511701,28489,32
3369,47686,5
498482,55029,11
498482,55029,15
518017,55163,5
518017,55163,31
499765,72812,12
499765,72812,14
499856,75235,12
499856,75235,25
499856,75235,31
504651,76164,12
504651,76164,16
506415,76882,31
1122982998,81085,12
1122982998,81085,31
504463,90099,5
504463,90099,12
504463,90099,24
504463,90099,31
506456,90558,13
506456,90558,15
506456,90558,31
506456,90558,32
508292,103380,15
508292,103380,24
508455,104967,12
508455,104967,31
508455,104967,32
509549,105322,32
509549,105322,33
509549,105322,35
510218,111469,15
510218,111469,32
510590,113112,12
510590,113112,25
510590,113112,31
510590,113112,32
771448419,117297,12
517159,125764,4
515458,127269,8
515458,127269,31
515458,127269,32
1222194375,134813,13
1222194375,134813,31
278888515,140781,26
1788326126,142803,12
1788326126,142803,25
1788326126,142803,31
1935520090,143440,12
1935520090,143440,13
1935520090,143440,15
1935520090,143440,32
520083701,146155,15
520083701,146155,16
520083701,146155,35
653624336,148241,12
653624336,148241,31
2013539540,149657,9
2013539540,149657,15
2013539540,149657,31
2013539540,149657,32
331373906,159096,13
331373906,159096,14
1398657661,159518,5
1398657661,159518,32
155409827,171816,15
155409827,171816,35
213930085,178282,12
213930085,178282,16
213930085,178282,31
1515862749,198506,12
1515862749,198506,13
1515862749,198506,31
1743359147,202279,15
1743359147,202279,35
451007760,213639,4
1987896617,214394,12
1987896617,214394,31
250649084,222341,9
250649084,222341,31
848400095,222343,9
848400095,222343,31
1414860634,228374,5
1414860634,228374,12
1414860634,228374,31
1414860634,228374,32
1414860634,228374,33
417844199,242315,12
417844199,242315,16
417844199,242315,31
766571430,250616,5
766571430,250616,24
1393304883,252168,5
1393304883,252168,13
1393304883,252168,15
1393304883,252168,24
1819887434,266683,5
1819887434,266683,9
1819887434,266683,15
1819887434,266683,31
220828788,266697,31
1361476377,294270,8
1361476377,294270,13
1361476377,294270,31
1361476377,294270,32
344035090,298526,12
344035090,298526,13
344035090,298526,31
623821345,301426,13
623821345,301426,32
262437666,306822,13
362339131,317627,12
362339131,317627,31
296636215,329690,4
296636215,329690,13
296636215,329690,14
1694957177,335254,13
693458936,337720,13
693458936,337720,32
266795834,341687,12
266795834,341687,31
2059463486,348648,13
2059463486,348648,32
1834407033,358535,12
613430080,376014,15
1320785158,376110,13
1320785158,376110,15
1320785158,376110,32
24193,124,5
16051,234,12
16051,234,15
16051,234,31
11448,363,12
11448,363,15
11448,363,16
10229,411,12
10229,411,31
5360,424,31
30028,472,12
30028,472,31
18707,731,5
18707,731,10
18707,731,31
65654,1081,12
65654,1081,31
33631,1266,31
10609,1517,12
10609,1517,16
10609,1517,31
515349,2971,12
515349,2971,31
28573,3665,5
28573,3665,25
207,4108,15
207,4108,16
207,4108,35
460521,7292,4
110758,7346,9
110758,7346,31
489170,8222,12
489170,8222,31
492035,8254,5
492035,8254,31
459064,9061,5
459064,9061,8
459064,9061,31
459064,9061,32
459064,9061,33
461449,9066,13
461449,9066,15
489401,9509,5
489401,9509,31
488910,9667,10
488910,9667,13
488910,9667,32
394568,9789,11
394568,9789,13
394568,9789,15
394568,9789,32
489635,10239,5
489635,10239,12
489635,10239,13
489635,10239,31
489635,10239,32
490382,11162,4
490382,11162,25
17447,11404,12
17447,11404,15
17447,11404,16
490644,11800,12
490644,11800,15
490644,11800,16
490644,11800,31
490655,12515,12
490655,12515,13
497480,14362,9
497480,14362,31
7212,15487,8
7212,15487,31
1050003477,19457,12
1050003477,19457,31
493217,19474,12
493217,19474,15
493217,19474,35
6369,19560,12
6369,19560,25
6369,19560,31
24438,26359,4
24438,26359,12
24438,26359,15
24438,26359,16
495202,26845,12
495202,26845,15
495202,26845,16
495202,26845,24
495202,26845,31
20061,28387,4
20061,28387,12
509110,28512,5
509110,28512,31
509110,28512,32
497440,32365,5
497440,32365,13
497440,32365,15
497440,32365,32
497454,37136,5
497454,37136,8
497454,37136,31
499888,61638,8
499888,61638,9
499888,61638,15
499888,61638,31
499888,61638,32
369418,63350,15
369418,63350,26
979332452,75300,4
979332452,75300,12
979332452,75300,31
489405,88818,4
489405,88818,9
489405,88818,12
489405,88818,35
502829,91269,12
502829,91269,31
505884,95340,5
505884,95340,15
505084,97494,7
505084,97494,12
505084,97494,13
505084,97494,14
505084,97494,34
518014,101006,10
518014,101006,13
518014,101006,14
510056,112191,12
510056,112191,13
510056,112191,16
102007682,112875,12
102007682,112875,25
102007682,112875,31
511399,115276,8
512033,117199,5
512033,117199,12
512708,117263,15
512708,117263,35
512998,119388,9
512998,119388,31
41272850,121176,5
41272850,121176,13
515479,127346,13
515479,127346,31
515479,127346,32
457975278,127976,31
517330,133004,12
517330,133004,31
516866,133748,5
516866,133748,31
518873,135998,5
518873,135998,12
518873,135998,31
518873,135998,32
518901,137451,12
518901,137451,15
518901,137451,31
518901,137451,32
518186,137989,4
518186,137989,12
518186,137989,31
518186,137989,32
1757732267,141503,10
1158884259,143613,5
1158884259,143613,8
494436328,144274,15
494436328,144274,35
2028408685,145439,2
2028408685,145439,9
2028408685,145439,13
2028408685,145439,31
2028408685,145439,32
1478888065,148454,5
1478888065,148454,12
1478888065,148454,31
1115711128,151353,13
1115711128,151353,15
1115711128,151353,32
516173984,165351,12
516173984,165351,13
516173984,165351,15
516173984,165351,25
516173984,165351,31
516173984,165351,32
1471416868,165352,13
1471416868,165352,14
129797603,218282,9
129797603,218282,31
129797603,218282,32
1330093788,224415,13
1330093788,224415,32
376500771,228525,12
376500771,228525,25
376500771,228525,31
376500771,228525,32
1780647523,233571,5
1780647523,233571,24
1780647523,233571,31
904864974,239392,4
904864974,239392,31
780037970,252827,5
780037970,252827,31
1334543669,252873,31
422208436,268079,12
763313082,273120,5
763313082,273120,12
763313082,273120,31
1133341572,279643,12
1133341572,279643,25
975920470,281275,13
975920470,281275,15
975920470,281275,32
1775804061,284716,8
1775804061,284716,31
144418804,285168,5
144418804,285168,15
144418804,285168,32
1838305295,285342,13
1838305295,285342,32
1801167658,290959,10
1801167658,290959,13
1801167658,290959,31
1801167658,290959,32
147171333,296843,8
147171333,296843,25
147171333,296843,31
1230742965,309862,13
1230742965,309862,15
1230742965,309862,32
527589972,319445,31
527589972,319445,32
1354355809,325594,8
1354355809,325594,9
1354355809,325594,31
207506430,329661,13
207506430,329661,14
207506430,329661,15
207506430,329661,32
1559845263,329736,13
1559845263,329736,15
1559845263,329736,32
1136666301,329844,13
1136666301,329844,14
1847628758,330041,31
1847628758,330041,32
93798731,336964,10
93798731,336964,13
93798731,336964,14
762292943,343183,31
762292943,343183,32
871967156,359477,13
871967156,359477,14
1313351584,365487,13
1313351584,365487,14
1313351584,365487,15
2126813945,366922,35
18763,15,5
18763,15,12
19731,72,8
19731,72,9
19731,72,31
8110,99,10
8110,99,13
1041,126,12
1041,126,25
18893,380,5
18893,380,24
18893,380,31
22848,434,5
22848,434,12
22848,434,31
15631,733,5
15631,733,10
15631,733,31
15631,733,33
8645,880,5
8645,880,31
16676,891,5
28046,1147,8
28046,1147,31
9182,1215,12
1771060953,1318,12
1771060953,1318,13
1771060953,1318,15
1771060953,1318,16
1771060953,1318,24
8867,1530,5
8867,1530,8
8867,1530,31
16282,1627,4
16282,1627,8
73586,1910,31
73586,1910,32
369579,2114,5
369579,2114,12
369579,2114,15
369579,2114,24
369579,2114,31
19508,2746,13
19508,2746,14
80607,2955,5
80607,2955,12
80607,2955,13
80607,2955,15
80607,2955,31
458443,4754,31
11541,5451,31
11541,5451,34
2083,5611,12
2083,5611,31
130942,7046,13
130942,7046,15
130942,7046,32
460636,7334,12
460636,7334,31
7022,7504,9
7022,7504,13
7022,7504,31
7022,7504,32
488892,11218,5
488892,11218,33
491117,12731,13
491117,12731,14
492553,19130,13
492553,19130,15
492553,19130,16
7690,20622,5
7690,20622,9
7690,20622,31
107194810,21610,9
107194810,21610,13
107194810,21610,31
107194810,21610,34
493048,24493,12
493048,24493,16
493048,24493,24
493048,24493,31
493048,24493,34
493048,24493,35
492535,26226,8
492535,26226,31
492535,26226,32
493997,26758,8
493997,26758,31
494925,27082,13
494925,27082,31
494925,27082,32
499132,36616,11
499132,36616,12
499132,36616,15
499132,36616,32
497467,36926,12
497467,36926,31
20941,47101,12
20941,47101,15
20941,47101,31
505705,52006,5
505705,52006,12
505705,52006,13
505705,52006,31
505705,52006,32
505705,52006,33
498807,55123,13
498807,55123,15
497304,56012,12
497304,56012,13
497304,56012,14
497304,56012,31
504462,83727,5
125264560,84922,7
125264560,84922,13
125264560,84922,32
502732,87622,31
506462,103329,5
506462,103329,31
512818,106805,5
512818,106805,31
1544878267,112116,31
1544878267,112116,32
518015,112874,12
518015,112874,31
1064893715,115115,5
1064893715,115115,31
512101,115991,5
512101,115991,12
512101,115991,13
512101,115991,15
512101,115991,31
512101,115991,32
19801,117294,12
19801,117294,31
97210601,120322,12
97210601,120322,13
97210601,120322,31
97210601,120322,32
513589,122927,12
513589,122927,13
513589,122927,31
513589,122927,32
513501,126055,5
516867,131961,33
516867,131961,35
1707112873,131999,12
1707112873,131999,25
1707112873,131999,31
2124158333,136088,13
2124158333,136088,15
2124158333,136088,16
2143096682,138933,13
2143096682,138933,15
2143096682,138933,31
2143096682,138933,32
1089659237,142549,8
1089659237,142549,9
1089659237,142549,31
1089659237,142549,32
1913410799,143114,11
1913410799,143114,15
858043689,146218,12
858043689,146218,31
766548668,148228,12
766548668,148228,31
394801804,152246,12
394801804,152246,31
1028198402,159119,5
1028198402,159119,12
1028198402,159119,31
966704637,162235,12
966704637,162235,31
965771331,171233,7
965771331,171233,9
965771331,171233,12
965771331,171233,16
965771331,171233,31
965771331,171233,32
223869970,185252,5
223869970,185252,12
223869970,185252,31
743214338,199116,4
743214338,199116,5
743214338,199116,12
743214338,199116,32
743214338,199116,33
478407715,201789,5
478407715,201789,13
478407715,201789,15
478407715,201789,24
778386489,204350,5
778386489,204350,31
2104758320,208476,5
2104758320,208476,12
2104758320,208476,31
468533702,209643,12
468533702,209643,31
2085980140,212089,32
592813907,214402,31
592813907,214402,32
655697363,219126,5
655697363,219126,12
655697363,219126,13
655697363,219126,31
655697363,219126,32
608663369,222608,12
1734202623,228175,5
1734202623,228175,32
818770426,232699,4
818770426,232699,12
666511413,234256,10
666511413,234256,31
1089655891,252647,12
1089655891,252647,31
669337588,252830,13
340920845,253659,15
340920845,253659,16
340920845,253659,24
340920845,253659,32
614806865,254871,12
614806865,254871,13
614806865,254871,31
614806865,254871,32
1337444628,260780,5
1982936547,266836,9
376795550,281071,15
1672324422,302156,5
1290989747,306149,9
1290989747,306149,31
712125648,308978,5
1846512643,314246,5
1846512643,314246,12
1846512643,314246,31
2115231542,316987,13
2115231542,316987,32
1362102608,325588,14
1362102608,325588,32
1448308190,328079,12
1448308190,328079,13
1448308190,328079,14
1317379021,328140,12
1317379021,328140,15
1317379021,328140,16
1317379021,328140,31
1317379021,328140,32
1959131435,333443,13
1959131435,333443,31
1959131435,333443,32
689800679,334327,31
689800679,334327,32
836372212,338071,8
836372212,338071,31
836372212,338071,35
2086806174,338105,10
2086806174,338105,31
2086806174,338105,33
889298168,368744,12
889298168,368744,31
26992,75,5
26992,75,12
26992,75,31
