category_id,category_name,igdb_id
1104756815,Chameleon Twist 2,186001
1688787279,Forgot,380800
32385,Club Penguin,92589
156376999,Sky Harvest,258242
1420882308,Liminal City,346366
871804033,HANS,269243
507647733,s.p.l.i.t,342566
1723362790,The Jackbox Naughty Pack,299591
1511972274,GeoBingo.io,172403
1460681135,Hyrule Warriors: Definitive Edition,81147
1423892124,Into the Radius 2,279128
2120323589,Goemon: Mononoke Sugoroku,3507
943320949,ContractVille,285577
1726534440,Tyrion Cuthbert: Attorney of the Arcane,149149
16617,Streets of Rage 2,1653
492528,OneShot,23181
333519088,Goblin_Gnome_Horn,344743
1419063656,The Closing Shift,187715
2003022684,Momo Crash,349156
1966413119,Burgie's cozy kitchen,322086
1027858553,Boom Bears on Stream,191468
25622,Nontan to Issho: Kuru-kuru Puzzle,44400
126292,inFAMOUS: Second Son,1941
1253248583,Purple Place,268978
1091653427,DIGESTED,278255
673760473,Crab Game,178351
509932,Puyo Puyo Champions,109577
947763659,Industrial Fear,310648
1811843601,CiniCross,367828
489974,Shower With Your Dad Simulator 2015: Do You Still Shower With Your Dad?,12204
1136944707,Dungeons of Sundaria,208473
1702559244,Suika Game,221740
211531980,Fatal Frame,321739
1799945282,Second Stellar,319863
672253654,Jujutsu Kaisen: Phantom Parade,174523
245991557,Foodguessr,293936
14980,Sly 3: Honor Among Thieves,1800
496326,PixArk,56347
517076,Pixel Ripped 1995,119336
13484,Threads of Fate,28402
1562132027,Kristala,140793
1731433829,Sutte Hakkun,151967
4609,Serious Sam II,787
1247644901,Lunars,217321
513305,One Night at Flumpty's,122981
18200,Rome: Total War,438
31908,LEGO City Undercover,2177
8668,Croc: Legend of the Gobbos,7901
905324006,Watchmen: The End Is Nigh Complete Experience,44619
489730,Pro Evolution Soccer 2016,11185
1032548221,Infinite Tournament Paintball,161626
14901,50 Cent: Bulletproof,4011
13049,Tales of the Abyss,1207
19181,Catan,21830
499310,Splitgate,114684
1074401885,Fears to Fathom: Woodbury Getaway,281785
502178783,Hello Anxiety,357276
1333658322,Terroro,318493
917944087,While We Wait Here,238675
460180,Chain Chronicle,20061
65801,Call of Duty: Black Ops - Zombies,77267
1848487811,Apex,5728
1903254088,Halo 2: Anniversary,125009
1177491790,RoboCop,198876
18881,Command & Conquer: Red Alert 3,959
977894696,Cruelty Squad,142076
499560,The Legend of Heroes: Trails of Cold Steel III,26564
10308,Eye of the Beholder,5384
2127209227,The Front,239857
486610138,Luto,150241
363211327,Plan B: Terraform,226719
26549,Star Wars: The Force Unleashed II,137
76929895,The Seven Deadly Sins: Origin,194143
370539,Puyo Puyo Tetris,6866
616657652,Orcs Must Die! Deathtrap,308697
1666319697,Tuning Club Online,199946
6324,Harvest Moon: Back to Nature,3380
1433808140,DARKEST DAYS,332225
7839,Tomb Raider: Legend,1161
1366549265,Parasite Mutant,370711
1709058318,Wplace,347114
561047258,SWAT Commander,319967
514322,Remothered: Broken Porcelain,117309
1319159189,Love In Drawing,112461
512371,Madden NFL 20,114286
67639,Killzone: Mercenary,1869
2141530229,Fallout 4 VR,27922
29420,Asura's Wrath,5495
16143,Front Mission 3,1502
730238586,Counter-Strike: Source,307
498555,Fist of the North Star: Lost Paradise,55112
510077,Fury Unleashed,112185
18598,Xenosaga Episode I: Der Wille zur Macht,1227
315887130,The Nightmare House,301222
493112,NBA 2K17,18819
897131007,Fairy Tail: Dungeons,313123
280721,Destiny,1939
508865,Synth Riders,105333
14573,Kirby's Adventure,3717
1556973034,Ocean,179433
1673,NHL 2004,816
494570,DJMAX Respect,28192
761479925,Crysis 2 Remastered,165126
511773,BONEWORKS,115789
510095,Contractors,123603
2109314477,Lonely Mountains: Snow Riders,313812
1295,MechWarrior 2: 31st Century Combat,784
512073,Ostranauts,115299
775540800,Smelter,150757
994999662,Snow Plow Truck,101488
95075021,Smash Drums,152212
5826,Fallout Tactics: Brotherhood of Steel,17
12273,N,8748
499871,Players Unknown Battle Grand,77523
517795,Kingdoms Reborn,137805
2093500661,Void,344436
491170,Black Survival,54956
6761,Mega Man 7,1720
570278441,Aliens: Dark Descent,204354
458432,Journey of a Roach,9000
1360532005,Avakin Life,86966
13989,Video Casino Games,137099
337032217,Alien: Rogue Incursion,299582
647656524,Your Only Move Is HUSTLE,225590
43353668,Smile,129706
493632,Aragami,18853
731850212,Caring & Chilling,315409
490887,Star Wars Battlefront,2113
506250,TheoTown,109152
460329,Sherlock Holmes: Crimes & Punishments,5541
8652,Audiosurf,2956
251074253,Backrooms Lost Runners,364009
1642174625,Sledders,268811
493063,ReCore,11131
489415,Red Stone Online,35737
15921,Prince of Persia: Warrior Within,837
393044027,Uncharted 2: Among Thieves Remastered,41877
1499221970,Eternal Strands,295199
1402483528,GRID Legends,159116
1972660570,Dragonheir: Silent Gods,226376
1558189664,Twitchbox,96052
2104,Custom Robo,3462
1691026305,Martha Is Dead,90714
497170,Shadowgun Legends,56060
833349256,Kiteretsu Soudan Dial,287250
506376,Dead or Alive 6,103269
494393,Ultimate General: Civil War,25951
566023318,Heartworm,132711
19029,Tales of Vesperia,1209
235446742,Refind Self: The Personality Test Game,265960
11571,WWE SmackDown vs. Raw 2008,5298
12189,Unreal Tournament 2004,927
133413,Drakengard 3,8576
490730,FNaF World,47068
510749898,Obsessed: Night Shift,365267
28897,Bastion,1983
490653,Kamen Rider: Battride War Genesis,13559
313142,Tower of Saviors,22440
13840607,Maline,342141
587316247,XENOTILT: HOSTILE PINBALL ACTION,233872
497469,Railway Empire,28086
665562457,Bopl Battle,244167
506375,Twin Mirror,103266
21791,Monster Hunter Tri,2268
447215967,Need for Speed Most Wanted U,21699
76766809,OlliOlli World,145782
489671,Cossacks 3,13215
511352,Rune Factory 5,115279
843060502,Dreams,286686
743904225,Backyard Baseball '97,317717
1976597877,Bed Wars,265850
129532007,Hired 2 Die,211704
