igdb_id,category_id,game_name,genre_id
158,13343,Star Wars Episode I: The Phantom Menace,31
1177,2311,Lufia & the Fortress of Doom,9
1177,2311,Lufia & the Fortress of Doom,12
1205,10745,Tales of Rebirth,12
1434,13682,Fire Emblem Gaiden,12
1434,13682,Fire Emblem Gaiden,15
1434,13682,Fire Emblem Gaiden,16
2164,12939,The Neverhood,2
2164,12939,The Neverhood,9
2164,12939,The Neverhood,31
2799,8235,Ben 10: Protector of Earth,31
3027,10945,Dino Crisis,5
3027,10945,Dino Crisis,31
3186,1368496182,Street Fighter II,4
3186,1368496182,Street Fighter II,33
3598,9861,Shadow Man,31
3775,459452,Assassin's Creed: Freedom Cry,31
4065,8672,Peter Jackson's King Kong: The Official Game of the Movie,5
4065,8672,Peter Jackson's King Kong: The Official Game of the Movie,31
4144,15267,Armored Core,5
4144,15267,Armored Core,13
5512,26269,Mystery Case Files: Madame Fate,2
5512,26269,Mystery Case Files: Madame Fate,9
5512,26269,Mystery Case Files: Madame Fate,31
7455,24566,Sengoku Basara: Samurai Heroes,25
7455,24566,Sengoku Basara: Samurai Heroes,31
9103,11722,Elasto Mania,8
9103,11722,Elasto Mania,9
9103,11722,Elasto Mania,10
9103,11722,Elasto Mania,13
9103,11722,Elasto Mania,14
9103,11722,Elasto Mania,32
9103,11722,Elasto Mania,33
9235,512637,LSD: Dream Emulator,13
9235,512637,LSD: Dream Emulator,31
9235,512637,LSD: Dream Emulator,32
11588,490414,Quiplash,15
11588,490414,Quiplash,26
11588,490414,Quiplash,32
14486,2213,Sorcerian,8
14486,2213,Sorcerian,9
14486,2213,Sorcerian,12
14486,2213,Sorcerian,31
14522,2629,Siren,15
14522,2629,Siren,31
15928,9256,Umihara Kawase,8
15928,9256,Umihara Kawase,9
15928,9256,Umihara Kawase,32
15995,575326985,Puzzle Agent,2
15995,575326985,Puzzle Agent,9
15995,575326985,Puzzle Agent,31
19411,952427007,Altered Beast,25
19411,952427007,Altered Beast,31
19519,493946,Star Trek: Bridge Crew,12
19519,493946,Star Trek: Bridge Crew,13
19519,493946,Star Trek: Bridge Crew,31
19619,6481,Steambot Chronicles,12
19619,6481,Steambot Chronicles,31
27285,495628,Bombergirl,33
27285,495628,Bombergirl,36
28026,508531,Sumoman,8
28026,508531,Sumoman,9
28026,508531,Sumoman,31
28026,508531,Sumoman,32
28711,458729,UNO & Friends,9
28711,458729,UNO & Friends,26
28711,458729,UNO & Friends,35
38466,126243,Valkyria Chronicles 3: Extra Edition,12
38466,126243,Valkyria Chronicles 3: Extra Edition,15
38466,126243,Valkyria Chronicles 3: Extra Edition,16
38466,126243,Valkyria Chronicles 3: Extra Edition,24
38466,126243,Valkyria Chronicles 3: Extra Edition,31
39531,15344,Galaxy Fight: Universal Warriors,4
43488,21334,Singstar: Best of Disney,7
44102,502223,Total War Saga: Thrones of Britannia,11
44102,502223,Total War Saga: Thrones of Britannia,15
44102,502223,Total War Saga: Thrones of Britannia,16
57894,493499,Pocket Mirror,9
57894,493499,Pocket Mirror,12
57894,493499,Pocket Mirror,31
68284,1626245717,Zone of The Enders: The 2nd Runner Mars,5
68284,1626245717,Zone of The Enders: The 2nd Runner Mars,13
68284,1626245717,Zone of The Enders: The 2nd Runner Mars,25
78212,7048,Berserk: Millennium Falcon-hen - Seima Senki no Shou,25
78212,7048,Berserk: Millennium Falcon-hen - Seima Senki no Shou,31
78536,509016,Beholder 2,13
78536,509016,Beholder 2,15
78536,509016,Beholder 2,31
78536,509016,Beholder 2,32
80904,510198,Don't Be Afraid,9
80904,510198,Don't Be Afraid,31
80904,510198,Don't Be Afraid,32
94876,505211,LEGO The Incredibles,8
94876,505211,LEGO The Incredibles,9
94876,505211,LEGO The Incredibles,25
94876,505211,LEGO The Incredibles,31
98557,502991,Mirror Layers,9
98557,502991,Mirror Layers,31
98557,502991,Mirror Layers,32
108048,1262894464,Midnight Ghost Hunt,32
108797,510582,Stranger Things 3: The Game,9
108797,510582,Stranger Things 3: The Game,12
108797,510582,Stranger Things 3: The Game,31
114534,511532,Golf Blitz,14
117406,512241,Tokimeki Memorial Girl's Side 4th Heart,34
117591,131475931,Escape Until Friday,32
128004,519555,Sands of Salzaar,12
128004,519555,Sands of Salzaar,15
128004,519555,Sands of Salzaar,31
134556,517893,Re:Zero - Starting Life in Another World: The Prophecy of the Throne,12
134556,517893,Re:Zero - Starting Life in Another World: The Prophecy of the Throne,15
134556,517893,Re:Zero - Starting Life in Another World: The Prophecy of the Throne,24
134556,517893,Re:Zero - Starting Life in Another World: The Prophecy of the Throne,31
134556,517893,Re:Zero - Starting Life in Another World: The Prophecy of the Throne,34
135418,1898414404,Ghostpia Season One,32
135418,1898414404,Ghostpia Season One,34
139600,459905749,Milo and the Magpies,2
139600,459905749,Milo and the Magpies,9
139600,459905749,Milo and the Magpies,31
142461,190657827,OnlyCans: Thirst Date,13
142461,190657827,OnlyCans: Thirst Date,32
142461,190657827,OnlyCans: Thirst Date,34
156653,357223907,Kebab Chefs!: Restaurant Simulator,13
157176,470559682,Dagon,31
157176,470559682,Dagon,32
157176,470559682,Dagon,34
163209,2132335229,Simple Fish Adventure,13
163209,2132335229,Simple Fish Adventure,31
163209,2132335229,Simple Fish Adventure,32
165270,1930904424,Lucky Tower Ultimate,8
165270,1930904424,Lucky Tower Ultimate,31
165270,1930904424,Lucky Tower Ultimate,32
171185,2088982312,Inspector Schmidt: A Bavarian Tale,12
171185,2088982312,Inspector Schmidt: A Bavarian Tale,31
171185,2088982312,Inspector Schmidt: A Bavarian Tale,32
175915,316989125,Civilization,15
176392,597395706,Pirate Radio,13
176392,597395706,Pirate Radio,31
181172,1446700925,Ремонт Союз,9
181172,1446700925,Ремонт Союз,32
185773,1546538713,Let's Play! Oink Games,32
185773,1546538713,Let's Play! Oink Games,35
186281,2014004194,Christmas Massacre,31
186281,2014004194,Christmas Massacre,32
186281,2014004194,Christmas Massacre,33
191761,1796335055,Minishoot' Adventures,5
191761,1796335055,Minishoot' Adventures,31
191761,1796335055,Minishoot' Adventures,32
191864,111917150,Shadow Burglar,32
210888,984204698,Unknown,15
210888,984204698,Unknown,31
210888,984204698,Unknown,32
210993,175629385,Reality Break,5
210993,175629385,Reality Break,12
210993,175629385,Reality Break,32
210993,175629385,Reality Break,33
221766,119064051,Yugekitai: Saikyoushin Fukkatsu no Maki,31
221766,119064051,Yugekitai: Saikyoushin Fukkatsu no Maki,34
222485,359204424,Silent Hill 2,9
222485,359204424,Silent Hill 2,31
222486,1459558487,Silent Hill 3,9
222486,1459558487,Silent Hill 3,31
227273,257767889,Idle Cave Miner,12
227273,257767889,Idle Cave Miner,13
227273,257767889,Idle Cave Miner,15
227273,257767889,Idle Cave Miner,32
228528,271647004,Bayonetta Origins: Cereza and the Lost Demon,9
228528,271647004,Bayonetta Origins: Cereza and the Lost Demon,31
229631,1456997584,Babbdi,31
229631,1456997584,Babbdi,32
237797,1354397321,Overwatch 2: Loverwatch - Love Never Dies,13
237797,1354397321,Overwatch 2: Loverwatch - Love Never Dies,34
242674,938554853,Trash Horror Collection 3,31
242674,938554853,Trash Horror Collection 3,32
250859,798290716,Dungeon Tycoon,13
250859,798290716,Dungeon Tycoon,15
250859,798290716,Dungeon Tycoon,32
