user_id,user_name,login_name,broadcaster_type
991674723,GrandestGamer,grandestgamer,
419938676,rocco,rocco,partner
46973310,6Sokka,6sokka,affiliate
130171306,Endtrima,endtrima,affiliate
244842996,Ruynio,ruynio,
117506571,khizhacs,khizhacs,partner
276316758,Tounic,tounic,affiliate
1365131675,boombasemoonbox,boombasemoonbox,
261456262,draggywagyy,draggywagyy,
150471086,saymonSL,saymonsl,affiliate
239141479,Kitty1010,kitty1010,affiliate
206946975,TITOMORTIS,titomortis,
204587419,ジョルトです,jolt_gamech,
1044382124,lauta_tz,lauta_tz,
563937734,이건엽87,boba9514,affiliate
761561575,kab_live,kab_live,
157286980,SaintNietz,saintnietz,affiliate
860979589,aivenpoc,aivenpoc,
874430899,youcanbetter,youcanbetter,affiliate
199098876,mate_kpo,mate_kpo,
245170705,lilsalsita,lilsalsita,affiliate
91488800,groovygameztv,groovygameztv,affiliate
443499050,RadioProyeccion,radioproyeccion,
618037831,holedownsir,holedownsir,
407945866,FearlezzEUW,fearlezzeuw,affiliate
611598687,ksbenhur,ksbenhur,
97976672,minozord,minozord,affiliate
410501475,xYays,xyays,affiliate
80822755,Swoof_9,swoof_9,affiliate
480690750,FlabRGasted,flabrgasted,
183648870,GamingClipss,gamingclipss,affiliate
24232581,c4103,c4103,affiliate
43893406,N8CatGoldChainLive,n8catgoldchainlive,affiliate
1275150870,cass_alt_delete,cass_alt_delete,affiliate
743768422,NegativKDA,negativkda,affiliate
814367106,spkydookie,spkydookie,
63095176,Eithry,eithry,
97452433,Tazonee1,tazonee1,affiliate
468287921,Speiner_,speiner_,affiliate
166412833,KayoCarneiro,kayocarneiro,
67207788,Loki_Fire,loki_fire,affiliate
201179467,TurtlemechOW,turtlemechow,
277447010,有坂くく,arisakajgn,
583532943,VEGstream,vegstream,
805929546,Cozart_2s1,cozart_2s1,affiliate
1412498077,itsflxwzvro,itsflxwzvro,
1108509363,bloodbath9000,bloodbath9000,
67060165,Arckeuz,arckeuz,affiliate
197345771,Leafers,leafers,
1345143312,donat7x,donat7x,affiliate
274383445,Sebagria,sebagria,affiliate
121995936,UnMokte,unmokte,affiliate
1029948070,egorbakinn,egorbakinn,
208896927,MarcoMarcetti,marcomarcetti,affiliate
656835383,hanywav,hanywav,
1408910141,Misseudo,misseudo,
107905807,Daviciyou,daviciyou,affiliate
1380385485,cdrizzle6004,cdrizzle6004,
861012733,Dewiksi,dewiksi,
441664265,ACI2DALEAPLAY,aci2daleaplay,
929006348,kitsunaline,kitsunaline,
157827865,el1ancs,el1ancs,affiliate
52150995,tjo2012,tjo2012,
443695857,ZESL0,zesl0,
177799984,まぬんちゃん,nn160,affiliate
427557726,FmKs_,fmks_,
159335262,Byroff,byroff,affiliate
68698993,PetriciteLoL,petricitelol,affiliate
151683962,DOOMSAYER16,doomsayer16,
58590117,og_dumpster_juice,og_dumpster_juice,
121225954,ThatBasti,thatbasti,
836207413,gabeywaeby,gabeywaeby,
179061575,Biiann_,biiann_,affiliate
72860490,HerbertHooverTheMagician,herberthooverthemagician,affiliate
59671386,gororo_o,gororo_o,affiliate
1056752373,ow_ryann,ow_ryann,affiliate
86328102,Fruiitix,fruiitix,affiliate
273449826,HeejinGhost,heejinghost,affiliate
906855341,RexionX17,rexionx17,affiliate
1110213566,ezraiscompost,ezraiscompost,affiliate
227410891,snowgengar,snowgengar,
108233447,halleno1,halleno1,
439141141,Goodois,goodois,affiliate
857850657,flowtekk98,flowtekk98,
547259194,KaraFly,karafly,affiliate
1092338491,budget_ow,budget_ow,
617120701,AdrianoDoDiniz,adrianododiniz,affiliate
598115029,RXXCCI,rxxcci,affiliate
429228768,DiMagicBadger,dimagicbadger,affiliate
49857251,crapuchia,crapuchia,affiliate
580797171,defnotnyx,defnotnyx,affiliate
75891532,Michel,michel,partner
80003921,marshytop,marshytop,affiliate
80446292,Rafergie,rafergie,affiliate
1347470194,nike_twch,nike_twch,
1139720906,qqsshkkaa,qqsshkkaa,
126813062,donilflamer,donilflamer,
50054036,MasterMeatball,mastermeatball,affiliate
465978310,thedaviid30,thedaviid30,affiliate
618185400,chenchen53,chenchen53,partner
679002845,yaboyykel,yaboyykel,affiliate
42894067,Mzalol,mzalol,
657392470,MelvyMilkduds,melvymilkduds,affiliate
112509845,dracoiwnl,dracoiwnl,affiliate
60965583,1manatsu,1manatsu,affiliate
193512148,brunyo_pjl,brunyo_pjl,affiliate
1223770868,AxolotlWithAxes,axolotlwithaxes,affiliate
690357008,NoGameNoFunn,nogamenofunn,
893551381,NotUncc,notuncc,affiliate
48907036,PerkyLuck,perkyluck,affiliate
414024612,gabrelzineo,gabrelzineo,
1180222391,yachisita,yachisita,affiliate
1242383066,Gamersfamily_mm,gamersfamily_mm,
128762706,n334r,n334r,affiliate
925598584,damibot66,damibot66,
823755662,gpg_ratd32,gpg_ratd32,
1045496723,mawi_is_here,mawi_is_here,
89785238,ProsConTrolls,proscontrolls,
985547704,MepaDev,mepadev,
183862212,ch0bee,ch0bee,affiliate
535282369,MamajoeVramajoe,mamajoevramajoe,affiliate
179176308,klumpbatsch1,klumpbatsch1,affiliate
1120617356,GNI1OY,gni1oy,affiliate
75432852,Masekurr,masekurr,affiliate
569721782,waduu15,waduu15,
1222804252,二路君,mdfiroja790,
488899361,z0eTi,z0eti,affiliate
457966406,beast_darius_na,beast_darius_na,affiliate
539722617,Kairohx,kairohx,partner
421282685,qa_moderation5,qa_moderation5,affiliate
918602422,BlueVegas7,bluevegas7,affiliate
917111620,ahriuchihaa,ahriuchihaa,affiliate
262423377,pelax420,pelax420,affiliate
226149266,Tarykkkk,tarykkkk,
146391978,moneycashwalker,moneycashwalker,
48857892,s2lunara,s2lunara,affiliate
738132856,scaryt3rryclutch,scaryt3rryclutch,
451707773,00Suei,00suei,affiliate
1206961019,PoppyRecords,poppyrecords,
211894995,TheEnigma_,theenigma_,affiliate
512901888,s_chilla,s_chilla,partner
173196047,Sp_delta,sp_delta,affiliate
434684723,LA16tv,la16tv,
894468925,allpakx2,allpakx2,
113001310,Rambo01007,rambo01007,affiliate
193430393,DanyHorn,danyhorn,affiliate
118375348,TotallyCereal,totallycereal,affiliate
252625636,rayka2k,rayka2k,affiliate
74040049,thesaxmachine2000,thesaxmachine2000,affiliate
69731165,NautiKosmo,nautikosmo,affiliate
198689635,axelinkkirito,axelinkkirito,
426214252,0h1soko0,0h1soko0,
1099203458,naswift,naswift,
159974499,poka,poka,partner
58098825,FooYa,fooya,partner
97141929,Kokiriiii,kokiriiii,affiliate
1332528300,nereubrbr,nereubrbr,
410305744,xxkill4pipixx,xxkill4pipixx,
57508846,Invitacional,invitacional,
108643313,RiseDivine,risedivine,affiliate
85312500,ACRmw3,acrmw3,
1412498422,ruzq433,ruzq433,
1399489590,Pwonyo,pwonyo,
107938903,marceloteo,marceloteo,affiliate
188957847,st_slickk,st_slickk,
448169180,saggymcnasty,saggymcnasty,
179323884,esports_simulator,esports_simulator,affiliate
947913818,PinksPersona,pinkspersona,
531629148,lxlizx,lxlizx,affiliate
191595700,UNDygor,undygor,affiliate
437601256,JMGALEGO,jmgalego,
1135641605,zoug_xan,zoug_xan,
496649225,h1pstergod,h1pstergod,affiliate
121521178,Ade_OW,ade_ow,affiliate
726959140,L_E_M_O_N_E_R,l_e_m_o_n_e_r,affiliate
773129301,w4lder00,w4lder00,
1329497237,MrFofoCR,mrfofocr,
138675386,GiHartz,gihartz,affiliate
67961810,RavenShield22,ravenshield22,
1158792187,kanojovt,kanojovt,affiliate
9061422,RaZoRWrAiThZ,razorwraithz,
1100235857,gms034,gms034,
112395456,OneTwoHD,onetwohd,affiliate
1321862347,stillgotdajuicetvlive,stillgotdajuicetvlive,
787875058,ちゃこここ,chacox_x,
116819189,ricosmeekodiko,ricosmeekodiko,affiliate
451216345,rojo166,rojo166,affiliate
732398630,Laskhard,laskhard,affiliate
450577456,dugzplayer,dugzplayer,
618202082,gildaartista,gildaartista,affiliate
775799816,themonsters_tv,themonsters_tv,affiliate
62751827,Chaz88p,chaz88p,affiliate
180995252,KiskitoFdez,kiskitofdez,affiliate
25298140,gttsgaming,gttsgaming,
169657584,Yisneitor,yisneitor,affiliate
104154087,daoistwither,daoistwither,
43533289,Protezee,protezee,partner
158090310,Cesaroxx_,cesaroxx_,partner
169935971,n0xxycs,n0xxycs,affiliate
142984412,sunvedal,sunvedal,affiliate
110150887,habbi3,habbi3,affiliate
502432724,mr_cruxi,mr_cruxi,affiliate
498992176,msbravo_,msbravo_,affiliate
871973938,1chapeu1,1chapeu1,affiliate
186319991,sedatoan,sedatoan,affiliate
75416745,ImSloppySloth,imsloppysloth,affiliate
546948295,tankxyy,tankxyy,affiliate
1110148309,johnmaicou,johnmaicou,affiliate
1043907655,clos3e,clos3e,affiliate
995050620,MichiiNey,michiiney,affiliate
31310975,Avilore,avilore,affiliate
1394738311,lofihiphop_24,lofihiphop_24,affiliate
1340753073,Vibestealerr,vibestealerr,affiliate
1350370266,蘋果呀,apple_819819,
108610553,robertthegoat1991,robertthegoat1991,affiliate
185451565,JeyZ19x,jeyz19x,affiliate
627442841,FREDD7700,fredd7700,
1357415626,kacpergibon47,kacpergibon47,
98436153,YourGoddess3713,yourgoddess3713,affiliate
1151976507,voker_008,voker_008,
89654359,tris_mara,tris_mara,partner
577733820,jxdeaa,jxdeaa,affiliate
214992093,yon_fps,yon_fps,affiliate
546833452,CraftyOneShot,craftyoneshot,affiliate
879166536,highsundayplease,highsundayplease,affiliate
535954526,ShalonceRoyal,shalonceroyal,affiliate
1139786761,chains_tw_,chains_tw_,
935658534,cumpot20,cumpot20,
145785922,mapaxxxe,mapaxxxe,affiliate
992986208,triplelift,triplelift,affiliate
408241266,Aranea_Gaming,aranea_gaming,affiliate
198984833,TheSpaceCactus,thespacecactus,affiliate
1001833634,starkiller_155,starkiller_155,
51938507,Azuredrops,azuredrops,affiliate
951911483,cowess,cowess,affiliate
533709925,geerudo,geerudo,affiliate
263931090,Mrbox4,mrbox4,affiliate
552092891,ArtoriusRMSO,artoriusrmso,affiliate
1384121579,boring10400,boring10400,
653493228,pela_dego,pela_dego,partner
616924164,NomadBear1,nomadbear1,affiliate
125387845,Megao_0K2,megao_0k2,affiliate
76661869,SatoriusLOL,satoriuslol,partner
953549990,dalkinho,dalkinho,affiliate
506643636,sandman_usa,sandman_usa,affiliate
175244493,joohn_garcia,joohn_garcia,affiliate
858866897,降谷ねる,furuyanel,affiliate
447595504,midnightfawn1,midnightfawn1,affiliate
212485122,kawau98,kawau98,affiliate
581387286,couldbenana,couldbenana,affiliate
1091650618,arobey_,arobey_,affiliate
147440789,N33TZSCHE,n33tzsche,affiliate
48465437,Cowsep,cowsep,partner
1389937909,osrs_lofi,osrs_lofi,affiliate
141624663,AlohaRain,aloharain,affiliate
168986105,joogs,joogs,affiliate
1329120585,Gymansion,gymansion,
826295643,TheForsakenOni,theforsakenoni,affiliate
219121003,ShizukaSana,shizukasana,affiliate
1366181236,uncleaxe805,uncleaxe805,
805291422,EunaRiverVT,eunarivervt,
434177455,zzachR6,zzachr6,affiliate
