user_id,login_name,user_name,broadcaster_type
1091256720,spooktheterminator,spooktheterminator,normal
148324833,sattu_mahaa_runsaasti,sattu_mahaa_runsaasti,affiliate
672203381,planchitas_tv,planchitas_tv,normal
687145621,sheluvmani___,sheluvmani___,affiliate
64209586,pedruzord,PEDRUZORD,affiliate
991674723,grandestgamer,GrandestGamer,normal
419938676,rocco,rocco,partner
46973310,6sokka,6Sokka,affiliate
130171306,endtrima,Endtrima,affiliate
244842996,ruynio,Ruynio,normal
117506571,khizhacs,khizhacs,partner
276316758,tounic,Tounic,affiliate
1365131675,boombasemoonbox,boombasemoonbox,normal
261456262,draggywagyy,draggywagyy,normal
150471086,saymonsl,saymonSL,affiliate
239141479,kitty1010,Kitty1010,affiliate
206946975,titomortis,TITOMORTIS,normal
204587419,jolt_gamech,ジョルトです,normal
1044382124,lauta_tz,lauta_tz,normal
563937734,boba9514,이건엽87,affiliate
761561575,kab_live,kab_live,normal
157286980,saintnietz,SaintNietz,affiliate
860979589,aivenpoc,aivenpoc,normal
874430899,youcanbetter,youcanbetter,affiliate
199098876,mate_kpo,mate_kpo,normal
245170705,lilsalsita,lilsalsita,affiliate
91488800,groovygameztv,groovygameztv,affiliate
443499050,radioproyeccion,RadioProyeccion,normal
618037831,holedownsir,holedownsir,normal
407945866,fearlezzeuw,FearlezzEUW,affiliate
611598687,ksbenhur,ksbenhur,normal
97976672,minozord,minozord,affiliate
410501475,xyays,xYays,affiliate
80822755,swoof_9,Swoof_9,affiliate
480690750,flabrgasted,FlabRGasted,normal
183648870,gamingclipss,GamingClipss,affiliate
24232581,c4103,c4103,affiliate
43893406,n8catgoldchainlive,N8CatGoldChainLive,affiliate
1275150870,cass_alt_delete,cass_alt_delete,affiliate
743768422,negativkda,NegativKDA,affiliate
814367106,spkydookie,spkydookie,normal
63095176,eithry,Eithry,normal
97452433,tazonee1,Tazonee1,affiliate
468287921,speiner_,Speiner_,affiliate
166412833,kayocarneiro,KayoCarneiro,normal
67207788,loki_fire,Loki_Fire,affiliate
201179467,turtlemechow,TurtlemechOW,normal
277447010,arisakajgn,有坂くく,normal
583532943,vegstream,VEGstream,normal
805929546,cozart_2s1,Cozart_2s1,affiliate
1412498077,itsflxwzvro,itsflxwzvro,normal
1108509363,bloodbath9000,bloodbath9000,normal
67060165,arckeuz,Arckeuz,affiliate
