category_id,genre_id
23453,5
23453,12
21779,12
21779,15
21779,36
18122,12
18122,31
24241,12
1494,5
32982,5
32982,10
32982,31
11557,9
11557,31
27546,5
27546,13
27546,15
27546,33
7934,8
7934,31
138585,15
138585,16
138585,35
33214,5
33214,12
33214,13
33214,15
33214,31
65632,5
65632,12
65632,13
65632,24
65632,31
65632,32
91423,12
91423,31
66170,5
66170,12
66170,31
31336,12
31336,31
31339,12
31339,13
31339,32
12565,12
12565,31
263490,5
263490,12
263490,31
263490,32
386821,12
386821,15
386821,25
386821,31
500188,5
500188,13
460630,5
460630,24
6263,8
6263,31
492035,5
492035,31
458353,12
458353,15
458353,16
458353,24
458353,31
458353,32
19619,12
19619,31
30921,10
30921,14
30921,32
491931,5
491931,12
491931,13
491931,24
491168,11
491168,15
491168,24
491168,35
490744,12
490744,13
490744,15
490744,31
490744,32
23020,8
23020,13
23020,31
491487,15
417528,12
493959,5
493959,12
493959,31
497057,5
497057,12
497057,31
493057,5
499003,13
499003,31
29452,35
498592,2
498592,31
499634,9
459931,12
459931,31
506416,5
506416,31
509538,13
511224,5
511224,24
1064893715,5
1064893715,31
509511,10
509511,13
512953,12
512953,31
512923,12
512923,15
512923,16
513181,12
513181,31
513143,15
513143,16
513143,24
513143,35
515025,5
1702520304,12
1702520304,25
1702520304,31
516575,5
516575,24
512710,5
27471,13
27471,31
27471,33
1119642287,13
1119642287,15
1119642287,35
464339927,5
55453844,4
55453844,33
209738946,12
209738946,31
380978759,5
380978759,15
380978759,24
778386489,5
778386489,31
1630982727,12
1630982727,31
744803366,13
744803366,15
744803366,32
735904419,5
735904419,12
735904419,13
735904419,31
735904419,32
2126767263,13
2126767263,31
2126767263,32
1264310518,5
401587136,5
401587136,15
401587136,24
2132205352,5
2132205352,15
2132205352,36
36799602,12
36799602,31
36799602,32
1757868477,12
1757868477,31
168648543,5
982348888,12
98473926,32
532988445,13
532988445,32
844228464,13
844228464,32
272952894,13
272952894,14
272952894,15
569438345,13
569438345,15
569438345,32
1258820756,15
1258820756,32
2012789438,5
1135650100,5
1135650100,8
1135650100,12
1135650100,32
1135650100,33
624536948,13
624536948,14
2112738408,13
2112738408,14
1325278295,12
1325278295,32
18763,5
18763,12
11989,11
11989,15
12839,12
12839,15
12839,16
6521,5
6521,10
6521,31
12482,9
12482,31
16967,9
16967,31
2692,8
2692,31
19357,12
19357,31
71375,5
71375,12
71375,13
71375,31
71375,32
65876,5
65876,12
65876,31
31750,5
31750,13
31750,15
31750,24
29307,12
29307,25
29307,31
66366,5
66366,13
66366,24
13263,12
13263,13
13263,15
369252,12
369252,13
18846,13
18846,32
271304,5
271304,12
271304,13
271304,15
271304,31
271304,32
32502,5
32502,11
32502,13
32502,24
19554,10
19554,13
19554,14
67647,31
67647,32
489776,5
489776,12
394568,11
394568,13
394568,15
394568,32
19976,8
19976,12
19976,31
490377,13
490377,31
460951,7
460951,8
460951,32
460951,33
492810,2
492810,13
492810,15
492810,31
492810,32
29056,12
29056,31
491381,13
491381,14
491381,15
491381,24
491381,32
490100,12
490100,25
490100,31
497509,12
497509,15
497509,31
497509,32
461221,4
461221,12
461221,31
495811,5
495811,12
495811,13
496902,12
496902,15
496902,16
496902,31
496902,32
496902,35
494184,15
494184,31
494184,36
1122982998,12
1122982998,31
506246,5
506246,12
508455,12
508455,31
508455,32
511391,8
511391,31
511391,32
512980,8
512980,10
512980,32
514858,15
514858,36
515024,12
515024,25
774680424,4
518144,31
518144,32
515479,13
515479,31
515479,32
1820378900,5
1820378900,9
1820378900,31
516588,12
687129551,10
687129551,14
687129551,33
1222194375,13
1222194375,31
1095275650,12
1095275650,31
982017546,12
982017546,13
982017546,31
1398657661,5
1398657661,32
516173984,12
516173984,13
516173984,15
516173984,25
516173984,31
516173984,32
329951934,12
329951934,16
456845141,12
456845141,25
456845141,31
1441208453,5
1441208453,12
1441208453,15
1441208453,31
2009321156,5
2009321156,12
2009321156,24
2009321156,31
2085980140,32
1910103699,5
538054672,4
1557187997,12
1557187997,15
1557187997,32
848400095,9
848400095,31
2105032420,12
2105032420,32
1846293708,12
1846293708,13
1846293708,32
1414860634,5
1414860634,12
1414860634,31
1414860634,32
1414860634,33
376500771,12
376500771,25
376500771,31
376500771,32
766571430,5
766571430,24
1393304883,5
1393304883,13
1393304883,15
1393304883,24
1282866981,5
1282866981,24
1286077738,12
1286077738,25
1286077738,31
2094865572,12
2094865572,15
2094865572,31
2094865572,36
997367275,12
997367275,31
344035090,12
344035090,13
344035090,31
545090511,4
545090511,25
545090511,31
545090511,32
262437666,13
362339131,12
362339131,31
602959317,15
602959317,31
551919008,13
551919008,14
1294658629,15
1294658629,32
762292943,31
762292943,32
1081998272,8
1081998272,31
1081998272,32
1836548426,31
1836548426,32
1143024882,15
167365321,32
394740720,9
394740720,32
1848745913,5
1517377137,31
1517377137,32
1538760733,13
1538760733,32
805991834,10
805991834,13
805991834,31
805991834,32
21934,12
24193,5
15229,12
15229,31
11988,12
11988,31
30028,12
30028,31
8645,5
8645,31
1468,5
1468,31
1229,8
1229,31
65654,12
65654,31
7595,5
7595,8
7595,31
31376,8
31376,12
31376,13
31376,15
31376,31
31376,32
115977,12
115977,31
21465,7
21465,32
21465,33
458781,12
458781,13
458781,31
458781,32
458781,33
9618,31
9618,35
32959,36
110758,9
110758,31
461389,9
461389,31
461389,32
20050,12
489401,5
489401,31
460316,4
460316,8
460316,32
460316,33
489635,5
489635,12
489635,13
489635,31
489635,32
489767,12
489767,13
489767,15
489767,16
489767,24
490292,12
490292,31
497480,9
497480,31
490147,8
490147,31
490147,32
488634,13
488634,15
488634,31
488634,32
20596,12
20596,15
20596,31
293693714,5
293693714,31
493048,12
493048,16
493048,24
493048,31
493048,34
493048,35
490948,4
490948,12
490948,13
490948,15
490948,31
490948,32
24438,4
24438,12
24438,15
24438,16
496885,13
496885,32
518017,5
518017,31
497497,5
497497,15
497497,36
504463,5
504463,12
504463,24
504463,31
504461,4
504461,8
506456,13
506456,15
506456,31
506456,32
502829,12
502829,31
505884,5
505884,15
508509,35
509549,32
509549,33
509549,35
511212,31
511212,32
510218,15
510218,32
510056,12
510056,13
510056,16
511295,5
511295,15
511295,36
511399,8
1679324192,25
1679324192,31
512693,12
512693,15
512693,24
512693,35
469758789,32
518213,8
518213,9
518213,31
518379,15
518379,36
519291,12
519291,25
519291,31
1262047844,25
1262047844,31
1788326126,12
1788326126,25
1788326126,31
1158884259,5
1158884259,8
494436328,15
494436328,35
14333696,15
14333696,32
653624336,12
653624336,31
2013539540,9
2013539540,15
2013539540,31
2013539540,32
1036710512,5
1036710512,12
1036710512,25
1036710512,31
1036710512,32
331373906,13
331373906,14
155409827,15
155409827,35
673760473,4
673760473,10
673760473,15
673760473,32
673760473,33
223869970,5
223869970,12
223869970,31
743214338,4
743214338,5
743214338,12
743214338,32
743214338,33
478407715,5
478407715,13
478407715,15
478407715,24
623291583,5
623291583,24
1987896617,12
1987896617,31
1247644901,32
1247644901,33
1247644901,35
880825863,13
880825863,31
880825863,32
330654616,4
330654616,8
330654616,32
737987407,12
737987407,31
2060730947,10
1074401885,31
1074401885,32
144418804,5
144418804,15
144418804,32
1361476377,8
1361476377,13
1361476377,31
1361476377,32
1672324422,5
188822497,5
251979746,12
251979746,13
251979746,31
251979746,32
777417331,31
777417331,32
347755241,12
347755241,31
365912304,8
222643030,5
296636215,4
296636215,13
296636215,14
1826300051,10
114524791,12
114524791,15
114524791,35
266795834,12
266795834,31
1834407033,12
2126813945,35
1786539857,13
1786539857,32
889298168,12
