category_id,game_mode_id
15554,1
11406,1
11406,2
65871,1
28947,1
27349,1
27349,3
383341,2
383341,5
458729,1
458729,2
512089,1
511981,2
514201,1
514201,2
514201,4
511850,1
511850,2
511850,5
1435964601,1
518005,1
362350179,1
1677489258,1
1969359801,1
2120543980,1
1645899384,1
381933311,1
2073749632,1
1065093334,1
1065093334,2
1896092709,1
1896092709,2
1896092709,3
1896092709,5
1896092709,6
1301482538,1
269805965,1
269805965,2
269805965,3
1564244055,1
536199331,1
14937,1
14937,2
24170,1
24170,2
12189,1
12189,2
13682,1
4364,1
1565051033,1
29708,1
11600,1
11600,3
11600,4
369329,1
369329,2
18919,1
18919,2
5020,1
5020,2
26085,1
26085,2
20454,1
20454,2
20454,4
29000,1
9748,1
11743,1
10792,1
10792,2
10792,3
488516,1
488587,1
489730,1
489730,2
1832714210,1
1832714210,2
1832714210,3
49,1
490957,1
490957,2
490957,3
493021,1
493021,2
493021,3
9348,1
494557,1
494557,3
507137,1
497067,1
496499,1
502989,1
498449,1
498449,2
498449,3
504766,1
504766,5
16786,1
499963,1
499963,2
30520,1
511581,1
1220748819,1
510044,1
510044,2
510044,3
510044,4
1331100283,1
1331100283,2
512303,1
512303,2
512303,3
511773,1
514426,1
517205,1
516987,1
516859,1
518624,1
518624,2
518624,3
612301803,1
612301803,2
612301803,3
1608807548,1
1608807548,2
1608807548,3
726310368,1
470559682,1
616873567,1
1779137184,1
1547283066,1
1535149059,1
2060357386,1
2060357386,2
1741663579,1
489490035,1
1453243922,1
1174880646,1
106587080,1
6234175,1
6234175,2
6234175,3
1101694440,1
977723995,1
1855935446,1
1855935446,2
1855935446,3
971832129,1
489283000,1
489283000,2
489283000,3
1973021295,1
1734202623,1
1734202623,2
1734202623,3
1806154176,1
277015957,1
132605348,1
1303814335,1
349240454,1
349240454,2
38795611,1
38795611,2
356786784,1
356786784,2
356786784,3
356786784,4
1923325067,1
1923325067,2
1003392471,1
724780748,1
724780748,2
724780748,3
1035519062,1
1035519062,2
1035519062,3
884569009,1
884569009,2
837328782,1
837328782,2
837328782,3
695642082,1
548863356,1
548863356,2
1525198599,1
1525198599,2
1525198599,3
789936655,1
689053174,1
229782888,1
165309525,1
83722136,1
83722136,2
83722136,3
1224190424,1
1802767745,1
1802767745,2
586873356,1
111467058,2
111467058,3
1612447852,1
23863,1
18772,1
18772,2
18772,3
18772,4
12629,1
28081,1
28565,1
28565,2
28565,3
12562,1
12562,2
12562,4
12870,1
7228,1
7228,2
7228,4
24399,1
24399,2
5887,1
5887,2
5887,3
5887,4
25087,1
25087,2
25087,3
10945,1
26960,1
3431,1
3431,4
7586,1
7586,2
7586,3
19054,1
19054,2
19054,4
15265,1
15265,2
15265,3
15265,4
313566,1
12643,1
12643,2
489812,1
489812,2
489812,3
490648,1
490648,2
490648,3
8510,1
8510,2
490354,1
490354,2
490354,3
490354,4
295626266,1
295626266,2
490646,1
4457,1
502926,1
504713,1
318687252,1
509699,1
1876658629,1
753328988,1
753328988,2
510581,1
510581,2
510581,3
512371,1
1964811595,1
516184,1
512746,1
512746,2
515481,1
515481,2
516131,1
515882,1
518884,1
1267183774,1
34738454,1
34738454,2
34738454,3
1022213012,1
1894461190,1
1894461190,2
1894461190,3
757757181,1
1386697379,1
1386697379,2
1386697379,4
1323120541,1
1303508598,1
1408100889,1
662037961,2
662037961,3
1034536158,1
1459558487,1
500093312,1
749304982,1
369844276,1
922613020,1
922613020,2
922613020,3
922613020,5
943482888,1
487777883,1
1976597877,2
1395476367,1
1395476367,2
1245261313,1
1245261313,3
1977252505,1
660784574,2
994603281,1
1932817629,1
681632639,1
490703246,1
490703246,2
490703246,4
1986927163,1
196631252,1
196631252,2
196631252,3
487085252,1
1003069755,1
280908832,1
280908832,2
280908832,6
2140573717,1
772384672,1
