category_id,genre_id
15554,2
15554,9
15554,31
11406,4
11406,33
369329,8
369329,31
65871,9
65871,31
65871,32
28947,12
28947,13
28947,32
27349,4
27349,31
383341,5
383341,12
383341,13
383341,15
383341,31
383341,32
458729,9
458729,26
458729,35
497512,32
30520,5
30520,31
512089,8
512089,9
512089,31
512089,32
511981,13
511981,14
511981,32
514201,7
514201,32
514201,33
511850,12
1435964601,15
1435964601,31
1435964601,32
518005,12
518005,13
362350179,9
362350179,12
362350179,13
362350179,32
1677489258,9
1677489258,32
1741663579,13
1741663579,32
971832129,32
489283000,5
489283000,31
489283000,32
1973021295,9
1973021295,31
1973021295,32
1973021295,34
1969359801,31
1969359801,32
1303814335,8
1303814335,13
1303814335,15
1303814335,31
1303814335,32
2120543980,13
2120543980,31
2120543980,32
1645899384,13
1645899384,31
1645899384,32
356786784,8
356786784,31
356786784,33
381933311,12
381933311,13
381933311,15
381933311,16
381933311,32
381933311,33
2073749632,13
2073749632,32
884569009,32
695642082,9
695642082,32
1065093334,10
1065093334,13
1065093334,32
966225131,32
1896092709,11
1301482538,32
1224190424,15
1224190424,32
1224190424,35
269805965,12
269805965,15
269805965,35
1564244055,13
1564244055,31
1564244055,32
14937,5
18772,8
18772,9
18772,31
12629,13
12629,15
24170,5
24170,31
12189,5
28565,8
28565,31
13682,12
13682,15
13682,16
12870,8
12870,31
4364,8
4364,31
1565051033,11
1565051033,12
1565051033,24
29708,9
29708,15
29708,31
11600,5
18919,5
5020,9
5020,26
26085,13
26085,31
20454,5
20454,9
20454,12
29000,5
9748,31
11743,9
11743,31
10792,5
10792,12
10792,32
10792,33
488516,31
488516,32
488587,33
489730,13
489730,14
1832714210,12
49,5
49,33
490957,5
490957,12
490957,31
490957,32
490957,33
493021,14
9348,5
9348,31
494557,8
494557,31
507137,10
507137,32
497067,5
497067,8
497067,32
496499,31
496499,32
502989,31
502989,34
498449,5
498449,12
504766,12
504766,25
16786,14
16786,31
16786,32
499963,10
499963,13
499963,14
499963,33
9424,9
511581,12
511581,32
1220748819,31
1220748819,34
505515,2
505515,13
510044,8
510044,9
510044,31
510044,32
1331100283,5
1331100283,13
1331100283,32
510581,12
510581,25
512303,10
512303,13
512303,31
512303,32
511773,5
511773,9
511773,13
511773,31
511773,32
514426,5
514426,12
514426,31
517205,10
517205,14
517205,31
517205,32
517205,33
516987,31
516987,32
516859,5
518624,5
518624,31
518624,32
612301803,12
612301803,31
2131865393,15
2131865393,31
2131865393,32
1608807548,5
1608807548,31
1608807548,32
726310368,8
726310368,31
726310368,32
470559682,31
470559682,32
470559682,34
616873567,31
616873567,32
1779137184,10
1779137184,13
1779137184,32
1894461190,5
1894461190,32
1547283066,5
1547283066,12
1547283066,31
1115049822,15
1115049822,16
1535149059,4
2060357386,9
2060357386,15
2060357386,16
2060357386,24
489490035,10
489490035,13
489490035,14
489490035,15
1453243922,5
1453243922,9
1453243922,31
1174880646,4
1174880646,13
1174880646,31
106587080,31
6234175,15
6234175,35
1303508598,12
1408100889,8
1408100889,12
1408100889,31
1101694440,25
1101694440,31
977723995,33
1855935446,12
1855935446,31
1855935446,32
1734202623,5
1734202623,32
922613020,4
922613020,5
922613020,13
922613020,24
1806154176,12
1806154176,15
1806154176,32
277015957,31
277015957,32
132605348,12
132605348,15
132605348,31
132605348,32
349240454,32
349240454,33
38795611,15
38795611,16
38795611,35
1923325067,10
1923325067,14
1923325067,15
1923325067,31
1923325067,32
1003392471,12
724780748,13
724780748,32
1035519062,4
1035519062,13
1035519062,31
1035519062,32
1035519062,33
837328782,31
837328782,32
548863356,12
1525198599,8
1525198599,31
1525198599,32
789936655,34
689053174,13
689053174,31
689053174,32
229782888,13
229782888,32
165309525,9
165309525,13
165309525,15
1445342183,9
83722136,13
83722136,15
83722136,32
83722136,35
1802767745,30
586873356,13
586873356,31
586873356,32
1155264449,13
1155264449,15
1155264449,32
2140573717,31
2140573717,32
111467058,31
111467058,32
1612447852,13
1612447852,32
23863,5
23863,31
28081,25
28081,31
12562,9
7228,5
7228,13
7228,15
7228,24
24399,8
24399,31
5887,26
5887,35
25087,8
25087,9
25087,31
