stream_id,day_date_id,time_of_day_id,user_id,category_id,language_id,viewer_count,hours_watched
315566214627,20251230,1215,578772671,26936,fr,31,7.75
315622724199,20251230,1215,520003154,515025,ar,31,7.75
316957042523,20251230,1215,1214968487,26936,en,31,7.75
315080370131,20251230,1215,501544483,26936,en,31,7.75
316959675483,20251230,1215,22164238,26936,en,30,7.5
315565745507,20251230,1215,797586287,26936,en,30,7.5
315006732885,20251230,1215,910797650,26936,en,30,7.5
315779287781,20251230,1215,625852581,26936,de,29,7.25
315061770706,20251230,1215,107638283,28834,en,29,7.25
315861166566,20251230,1215,455517747,26936,it,29,7.25
315624115047,20251230,1215,502905404,26936,de,29,7.25
315859889382,20251230,1215,96755845,515025,en,28,7.0
315278756977,20251230,1215,1003065924,515025,ja,28,7.0
315143921260,20251230,1215,1073682292,515025,ar,28,7.0
315278389233,20251230,1215,1137486260,515025,ja,27,6.75
315515750242,20251230,1215,121521178,515025,es,27,6.75
316200384215,20251230,1215,498992176,515025,en,27,6.75
316840498394,20251230,1215,78476623,26936,other,27,6.75
316957370971,20251230,1215,1350417552,515025,ja,27,6.75
315107190888,20251230,1215,736566473,26936,th,26,6.5
316201398103,20251230,1215,956975212,515025,en,26,6.5
316199687895,20251230,1215,7501432,26936,en,26,6.5
315859393382,20251230,1215,255496994,26936,ru,26,6.5
315145315052,20251230,1215,230146016,515025,ar,26,6.5
316863373813,20251230,1215,147776391,515025,pt,26,6.5
315064093268,20251230,1215,686278015,26936,en,25,6.25
316861608181,20251230,1215,254976247,515025,pt,25,6.25
315080267091,20251230,1215,660632263,26936,en,25,6.25
315774921061,20251230,1215,787562380,515025,ar,25,6.25
315516723170,20251230,1215,624879125,515025,en,25,6.25
315277999473,20251230,1215,615712791,515025,ja,25,6.25
315080074323,20251230,1215,407148935,515025,en,25,6.25
315129450219,20251230,1215,139639474,515025,ar,24,6.0
316550711646,20251230,1215,62596768,515025,en,24,6.0
315858486502,20251230,1215,3359547,515025,de,24,6.0
315287142130,20251230,1215,434074084,26936,ja,23,5.75
315548009956,20251230,1215,1256020859,26936,en,23,5.75
316199126871,20251230,1215,123493652,515025,en,23,5.75
316754412633,20251230,1215,248797812,515025,en,23,5.75
316827928026,20251230,1215,555397037,26936,en,22,5.5
316760242265,20251230,1215,1389937909,26936,en,22,5.5
316834350426,20251230,1215,1299481072,515025,en,22,5.5
315777719653,20251230,1215,411178684,26936,ru,22,5.5
316493729756,20251230,1215,587808896,26936,en,22,5.5
315277417073,20251230,1215,858045151,515025,ja,22,5.5
315278506097,20251230,1215,921777344,515025,ja,21,5.25
315860033254,20251230,1215,103823844,515025,de,21,5.25
315860785638,20251230,1215,515857378,26936,de,21,5.25
316862038901,20251230,1215,473321853,515025,es,21,5.25
315149801833,20251230,1215,474775400,515025,th,21,5.25
315563334499,20251230,1215,253558535,515025,fr,20,5.0
316781964022,20251230,1215,422240762,515025,pt,20,5.0
315166128365,20251230,1215,75275082,26936,en,20,5.0
315622995943,20251230,1215,728580569,515025,en,20,5.0
316960225627,20251230,1215,817378034,26936,en,20,5.0
316614477920,20251230,1215,44934408,515025,en,20,5.0
316491012316,20251230,1215,1216220039,26936,other,20,5.0
315016917461,20251230,1215,1147280827,515025,en,20,5.0
316959103323,20251230,1215,668783139,515025,es,19,4.75
315624039911,20251230,1215,499680017,26936,de,19,4.75
315149601897,20251230,1215,174368922,515025,en,19,4.75
316960606939,20251230,1215,50609972,26936,en,19,4.75
315777091301,20251230,1215,653348488,26936,en,19,4.75
316494564572,20251230,1215,505973021,26936,en,19,4.75
315516148578,20251230,1215,121573691,515025,fr,18,4.5
316959611739,20251230,1215,747706046,26936,en,18,4.5
316615913312,20251230,1215,715302839,26936,en,18,4.5
315597074423,20251230,1215,1014718658,26936,en,18,4.5
316776825177,20251230,1215,478875036,515025,ar,18,4.5
315107298536,20251230,1215,80156813,515025,en,18,4.5
316200454487,20251230,1215,142456005,515025,en,18,4.5
315059878866,20251230,1215,266916652,515025,es,17,4.25
315277884017,20251230,1215,552892036,515025,ja,17,4.25
316839817818,20251230,1215,190178138,515025,en,16,4.0
315547115108,20251230,1215,623130271,492971,fr,14,3.5
315516992226,20251230,1215,426336938,515025,es,40,10.0
315166459245,20251230,1215,773887842,515025,ar,21,5.25
315017883733,20251230,1215,245985451,515025,ru,19,4.75
316612281056,20251230,1215,106132599,515025,en,19,4.75
315516230242,20251230,1215,222747756,515025,ar,19,4.75
315548281444,20251230,1215,88002825,515025,fr,18,4.5
316777777625,20251230,1215,1103385638,515025,en,18,4.5
316200538967,20251230,1215,495025619,515025,en,18,4.5
315547654884,20251230,1215,407352527,515025,fr,18,4.5
315040281809,20251230,1215,637643744,26936,en,17,4.25
315624200807,20251230,1215,523609230,26936,de,17,4.25
316778737497,20251230,1215,761576729,515025,en,17,4.25
315860235622,20251230,1215,756847683,515025,ru,17,4.25
315516201954,20251230,1215,932262687,515025,ar,17,4.25
316958660571,20251230,1215,509729207,515025,en,17,4.25
315064112596,20251230,1215,449981838,26936,ru,17,4.25
