user_id,user_name,login_name,broadcaster_type
523967102,SireniaKoa,sireniakoa,affiliate
43063392,queensapito,queensapito,affiliate
224296487,lildiazepam,lildiazepam,normal
1131045528,VexxJacobsTv,vexxjacobstv,affiliate
625485225,thesomii,thesomii,affiliate
580168329,ecueeee,ecueeee,normal
1048721174,TradutorCompetitivo,tradutorcompetitivo,normal
449140144,wane_crazy,wane_crazy,affiliate
749221294,voidless8,voidless8,affiliate
744316029,jerkyr,jerkyr,affiliate
126617945,5ft3,5ft3,affiliate
108623636,JoshIsLlama,joshisllama,affiliate
143252319,TeemordeLive,teemordelive,normal
69855747,xVainear,xvainear,affiliate
1208600831,R1verarl,r1verarl,affiliate
942527469,ポリっとエステル,estelleffff,normal
500651163,fant1syt,fant1syt,normal
657494092,sagi_lol,sagi_lol,affiliate
480155697,vladsama3,vladsama3,affiliate
98327677,taidanoakuma,taidanoakuma,affiliate
49521847,DeceivingHai,deceivinghai,affiliate
51728351,Mo0dys_Corner,mo0dys_corner,affiliate
774785959,depaoblo38,depaoblo38,normal
1205093886,joshwentonline,joshwentonline,affiliate
439383396,lina_sunshine,lina_sunshine,affiliate
736234066,eizen1x,eizen1x,normal
538801206,lxrdcrxw,lxrdcrxw,normal
218073023,saltysboys,saltysboys,normal
1344353933,dorii2xx,dorii2xx,normal
1115893529,matintheus,matintheus,normal
454546333,妮露是我婆,gn02218996,normal
666227128,kasya322,kasya322,normal
946924621,dizZlezzz,dizzlezzz,normal
40279689,JustReactions,justreactions,affiliate
99396432,dimitri_exee,dimitri_exee,normal
68520113,RegentSchema_17,regentschema_17,normal
187822150,DanIchihara95,danichihara95,affiliate
652513245,thejavaz_,thejavaz_,normal
180529615,Sotnas_xD,sotnas_xd,affiliate
423186539,meteoro_lol,meteoro_lol,affiliate
836380289,SeraInChains,serainchains,normal
71712149,Bonchily,bonchily,partner
1399670058,IAmPuppyy3,iampuppyy3,affiliate
112648614,TylorTv,tylortv,affiliate
531203642,Dart17788,dart17788,normal
1422223622,CHILLGUYXDXD,chillguyxdxd,normal
50647292,devil_ryu,devil_ryu,affiliate
455279317,Capwillys,capwillys,normal
37026325,HonorMN,honormn,normal
43855089,48_Eggs,48_eggs,affiliate
54519602,Vanure_,vanure_,affiliate
615049512,macielnfs,macielnfs,affiliate
264044368,えねころ,enekoooooooooo,partner
26490481,summit1g,summit1g,partner
76319485,Evarette,evarette,affiliate
11454896,Crimsix,crimsix,partner
874215465,becerro_legend,becerro_legend,affiliate
26476954,ACGondorf,acgondorf,normal
1314626332,amooo_xdp,amooo_xdp,normal
134973055,AsapAndyTv,asapandytv,affiliate
506737987,kratos388308,kratos388308,affiliate
187948110,externalghost,externalghost,normal
80187123,Custicek,custicek,affiliate
