stream_id,day_date_id,time_of_day_id,user_id,category_id,language_id,viewer_count,hours_watched
315655044708,20260111,1715,31919607,21779,es,14860,3715.0
317004721497,20260111,1715,51496027,21779,en,12822,3205.5
315684283511,20260111,1715,26490481,32399,en,8715,2178.75
316104821464,20260111,1715,25093116,32399,en,6402,1600.5
315914088293,20260111,1715,501438035,21779,de,5468,1367.0
316106621144,20260111,1715,25080754,21779,en,4213,1053.25
316680074716,20260111,1715,567928581,32399,en,4091,1022.75
315105743826,20260111,1715,42351942,21779,es,3385,846.25
315104428882,20260111,1715,44880944,21779,es,2493,623.25
316798483424,20260111,1715,466139555,21779,en,2294,573.5
316884962934,20260111,1715,53052202,32399,pt,2109,527.25
317017899636,20260111,1715,71167031,32399,pt,2021,505.25
317075505626,20260111,1715,115659124,21779,en,1662,415.5
316800878944,20260111,1715,756618441,21779,es,1660,415.0
317071158234,20260111,1715,56399221,21779,en,1589,397.25
315993822566,20260111,1715,67970187,21779,en,1579,394.75
315103854677,20260111,1715,1247104409,32399,ru,1562,390.5
316952311413,20260111,1715,36248926,21779,pt,1433,358.25
316963146485,20260111,1715,39152815,21779,pt,1404,351.0
315992431974,20260111,1715,127361301,21779,el,1379,344.75
315337803122,20260111,1715,40211539,21779,ja,1336,334.0
315628065378,20260111,1715,131917576,21779,it,1298,324.5
317071130458,20260111,1715,87183799,21779,fr,1281,320.25
315159858260,20260111,1715,114610433,32399,ru,1257,314.25
316882864502,20260111,1715,140632222,21779,pt,1187,296.75
316959299701,20260111,1715,25116812,21779,pt,1169,292.25
317067780570,20260111,1715,114942381,32399,en,1043,260.75
315330012913,20260111,1715,91967953,21779,zh,1041,260.25
315160397780,20260111,1715,84413008,21779,pl,954,238.5
317016836596,20260111,1715,159239195,21779,pt,939,234.75
315909287781,20260111,1715,992986208,21779,en,895,223.75
315111739349,20260111,1715,265475151,32399,ru,886,221.5
315658116708,20260111,1715,39194732,21779,fr,846,211.5
315654358500,20260111,1715,94570937,21779,en,781,195.25
316108071384,20260111,1715,24538518,21779,en,781,195.25
317017737460,20260111,1715,1117012382,32399,pt,728,182.0
317073377370,20260111,1715,41467289,21779,en,698,174.5
315109392213,20260111,1715,906755562,32399,ru,687,171.75
315338432626,20260111,1715,798002538,21779,ja,682,170.5
315759559655,20260111,1715,109193436,21779,de,638,159.5
315629546594,20260111,1715,81821673,21779,fr,615,153.75
317191371611,20260111,1715,126985261,21779,en,615,153.75
315658567396,20260111,1715,255176033,32399,pt,611,152.75
315678576355,20260111,1715,131415728,32399,pt,584,146.0
317015537396,20260111,1715,127863425,21779,pt,576,144.0
317191665755,20260111,1715,28036688,21779,en,574,143.5
315139302614,20260111,1715,512901888,32399,ru,572,143.0
316745608158,20260111,1715,42686036,21779,es,565,141.25
315996861158,20260111,1715,240992719,21779,de,551,137.75
315685375223,20260111,1715,104220066,21779,en,525,131.25
317068591450,20260111,1715,97782954,21779,en,522,130.5
316958335605,20260111,1715,1151430332,32399,pt,497,124.25
315159783636,20260111,1715,93723147,21779,ru,495,123.75
315630129890,20260111,1715,39692658,21779,es,493,123.25
316883889270,20260111,1715,52203144,21779,pt,480,120.0
315083136465,20260111,1715,27802484,21779,en,479,119.75
316962500085,20260111,1715,175903345,21779,pt,469,117.25
315682816247,20260111,1715,137445940,32399,en,455,113.75
316741281246,20260111,1715,58287338,21779,en,447,111.75
315122117331,20260111,1715,1050547869,32399,pl,436,109.0
315679359459,20260111,1715,55713896,21779,es,430,107.5
315327774833,20260111,1715,28990891,21779,zh,427,106.75
316882825078,20260111,1715,116824266,32399,pt,413,103.25
316960252917,20260111,1715,136371522,21779,pt,412,103.0
315995954150,20260111,1715,1117144770,32399,pl,392,98.0
316963969909,20260111,1715,158606982,32399,pt,386,96.5
316744160990,20260111,1715,228428255,21779,es,383,95.75
315188380780,20260111,1715,861485095,32399,pl,375,93.75
315082696785,20260111,1715,1117150465,32399,pl,337,84.25
316681863004,20260111,1715,41568380,21779,en,327,81.75
316345668951,20260111,1715,172298339,21779,en,325,81.25
317015016180,20260111,1715,442074596,21779,pt,324,81.0
315917514853,20260111,1715,1148220965,32399,pl,324,81.0
315139895638,20260111,1715,164695671,32399,ru,321,80.25
316803963616,20260111,1715,50926399,21779,en,320,80.0
316346498903,20260111,1715,118241089,21779,en,320,80.0
317015847540,20260111,1715,1018331620,32399,pt,317,79.25
315762191591,20260111,1715,1148211282,32399,pl,313,78.25
315997375718,20260111,1715,47584559,32399,es,311,77.75
315338445938,20260111,1715,730871194,21779,ja,311,77.75
316962858101,20260111,1715,128069182,21779,pt,309,77.25
315627335650,20260111,1715,135100321,32399,fr,307,76.75
317070540250,20260111,1715,478290210,21779,en,296,74.0
315329884529,20260111,1715,123354866,21779,ja,280,70.0
316881515254,20260111,1715,173162545,32399,pt,274,68.5
316883416182,20260111,1715,550813710,21779,pt,267,66.75
317068324826,20260111,1715,677553166,21779,en,266,66.5
316885432310,20260111,1715,794061563,32399,en,263,65.75
315110038357,20260111,1715,1143519974,32399,ru,257,64.25
317017818356,20260111,1715,1081254490,32399,pt,251,62.75
315337752562,20260111,1715,772733675,21779,ja,245,61.25
315122139603,20260111,1715,480627020,21779,en,236,59.0
317017793140,20260111,1715,638647055,32399,es,235,58.75
315155869140,20260111,1715,68266211,21779,en,217,54.25
315660066788,20260111,1715,32528705,21779,fr,216,54.0
317015300084,20260111,1715,94330404,32399,pt,212,53.0
315112038101,20260111,1715,235044229,21779,sv,23,5.75
315630087522,20260111,1715,215996765,21779,en,253,63.25
316107979224,20260111,1715,93293941,21779,en,232,58.0
316885214070,20260111,1715,149107396,21779,es,218,54.5
317017063028,20260111,1715,76869523,32399,pt,210,52.5
316801341664,20260111,1715,57659145,21779,en,209,52.25
316884140022,20260111,1715,492233601,32399,pt,209,52.25
316883890038,20260111,1715,526104240,32399,pt,205,51.25
316882345974,20260111,1715,42990999,21779,es,199,49.75
315684265591,20260111,1715,113987583,21779,en,197,49.25
315750845415,20260111,1715,31239503,32399,en,197,49.25
316961720053,20260111,1715,1143065749,21779,pt,194,48.5
315684770423,20260111,1715,76491082,21779,en,190,47.5
315629863010,20260111,1715,49049161,21779,es,189,47.25
315684534903,20260111,1715,41463454,27103,en,187,46.75
317015935348,20260111,1715,171892066,21779,pt,179,44.75
315160197844,20260111,1715,514473492,32399,pl,174,43.5
316884925686,20260111,1715,235729291,21779,es,173,43.25
315104953554,20260111,1715,95737462,21779,ru,172,43.0
315679325283,20260111,1715,433443068,21779,pt,169,42.25
315660453604,20260111,1715,68490587,32399,pt,168,42.0
316885402358,20260111,1715,217321691,32399,pt,167,41.75
315338569202,20260111,1715,57918114,21779,ja,166,41.5
315111700693,20260111,1715,42864371,32399,fi,162,40.5
315386271347,20260111,1715,45791238,21779,ja,161,40.25
317192178267,20260111,1715,46422375,21779,es,155,38.75
315659221348,20260111,1715,253979003,21779,fr,155,38.75
315385815795,20260111,1715,256964489,21779,ja,154,38.5
315762364647,20260111,1715,161404803,32399,pl,153,38.25
317017929844,20260111,1715,164990731,32399,pt,151,37.75
