stream_id,date_day_id,time_of_day_id,user_id,category_id,category_name,viewer_count,language_id,user_name
315049018473,3330,1630,958691858,32982,Grand Theft Auto V,1,en,valentinostresser
315867818711,3330,1630,895307444,27471,Minecraft,1,en,Emps_Onta
316411061851,3330,1630,1180268823,27471,Minecraft,1,en,paydrodollars
316269598425,3330,1630,887390215,27471,Minecraft,1,en,v0leth
316141224670,3330,1630,1395386480,516575,VALORANT,1,en,Itz_Logie_Pierogi
315778329432,3330,1630,202972926,27471,Minecraft,1,en,luke19tv
316317848026,3330,1630,949919762,27471,Minecraft,1,en,epickjc
315298498276,3330,1630,186119229,27471,Minecraft,1,fr,FraiZix
316082673884,3330,1630,136852103,516575,VALORANT,1,en,BROM_DUN
316408825051,3330,1630,804120935,27471,Minecraft,1,es,d3ryd4y
316692444404,3330,1630,1327358040,27471,Minecraft,1,pt,d1g0xxx
316408931675,3330,1630,703542668,27471,Minecraft,1,en,ShibeBoyo
316264077273,3330,1630,1067620909,27471,Minecraft,1,en,WorldsEdgeBar
316379282395,3330,1630,1396635701,27471,Minecraft,1,en,ddog71smp
316558954230,3330,1630,968394300,32982,Grand Theft Auto V,1,pt,ws_1km
316201912928,3330,1630,1328953629,27471,Minecraft,1,en,HottoniTw
316269735001,3330,1630,725501629,27471,Minecraft,1,es,x_the_padrino_x
316556997494,3330,1630,184910787,27471,Minecraft,1,es,QueenBaarbie
316081811036,3330,1630,878790132,32982,Grand Theft Auto V,1,fr,vibefth
316141600862,3330,1630,40542637,32982,Grand Theft Auto V,1,en,ninofrm860
316322247514,3330,1630,846895252,32982,Grand Theft Auto V,1,en,XplayZ337
315564077158,3330,1630,599167720,27471,Minecraft,1,de,lucavul
316408151003,3330,1630,613113028,26936,Music,1,es,TuRadioOnline
316081761628,3330,1630,98766504,32982,Grand Theft Auto V,1,en,whytfistherenosauce
316322550234,3330,1630,159568873,32982,Grand Theft Auto V,1,en,F5sjonathan
315778122072,3330,1630,1399507657,27471,Minecraft,1,en,henny_penny6741
316638446325,3330,1630,915264632,32982,Grand Theft Auto V,1,pt,runzinhoff
316269174361,3330,1630,1292412599,32982,Grand Theft Auto V,1,es,cowboyjordn23
316321763674,3330,1630,950888635,516575,VALORANT,1,en,rizzgod126
316141592670,3330,1630,872011848,27471,Minecraft,1,es,johanbest10
315456131301,3330,1630,1384122262,27471,Minecraft,1,de,syend_bot
316268336345,3330,1630,1322128368,27471,Minecraft,1,en,monkeymanpeyton
315063134829,3330,1630,225205409,516575,VALORANT,1,en,TBloodT
316559133686,3330,1630,1032164937,32982,Grand Theft Auto V,1,pt,Maringarp
316078775260,3330,1630,847245243,516575,VALORANT,1,en,THAREALMARKYBEAR
316197584352,3330,1630,204227810,32982,Grand Theft Auto V,1,fr,halfortinqc
315266557410,3330,1630,1316191483,518184,Phasmophobia,1,en,shaythomas2
315318271331,3330,1630,563187557,26936,Music,1,en,RaveMadeIt
316400637531,3330,1630,1394643943,32982,Grand Theft Auto V,1,en,checkmateamqg69
316412070235,3330,1630,1111897237,516575,VALORANT,1,es,patriciorodarte8345
316073473884,3330,1630,28878620,26936,Music,1,en,andrew709
315005577448,3330,1630,581866796,27471,Minecraft,1,en,DezzaGamez
316322175066,3330,1630,1316592552,32982,Grand Theft Auto V,1,en,dr3azyy1
315005405672,3330,1630,1341170372,32982,Grand Theft Auto V,1,en,mkklivex
316407553755,3330,1630,1106158908,27471,Minecraft,1,en,fwtweezy
316412425691,3330,1630,581807247,27471,Minecraft,1,en,lumos915
315868221783,3330,1630,47879279,27471,Minecraft,1,en,xox_Meg
316269270105,3330,1630,154068712,27471,Minecraft,1,en,the_mrmctwizzle
315397145975,3330,1630,1211282005,516575,VALORANT,1,en,friuttv
315397103607,3330,1630,125710916,27471,Minecraft,1,en,ARJ3NI5
314833515222,3330,1630,837452010,516575,VALORANT,1,ru,7enqee7q
316638039797,3330,1630,1381135044,516575,VALORANT,1,pt,eduardooliveire
316139846110,3330,1630,1242543176,27471,Minecraft,1,en,rezzysk8s
315152615921,3330,1630,822092730,516575,VALORANT,1,ja,みゃーさんっぽいかも
315298857316,3330,1630,198691678,518184,Phasmophobia,1,fr,laxy_legion99
316321206490,3330,1630,1127444140,32982,Grand Theft Auto V,1,en,lukebexley
316411297755,3330,1630,580789065,27471,Minecraft,1,en,ginganinja93015
316405274075,3330,1630,91611708,516575,VALORANT,1,en,Eu4ia_Gaming
316558603510,3330,1630,955147780,32982,Grand Theft Auto V,1,pt,misterjoaovictortwitch
315260313826,3330,1630,61073048,32982,Grand Theft Auto V,1,fr,Sneaky_Delma
316082435676,3330,1630,1237204716,27471,Minecraft,1,en,itschaosx09
315397205623,3330,1630,97957041,516575,VALORANT,1,en,XmidnightBreX
316269145945,3330,1630,882638891,27471,Minecraft,1,en,crystal_tigress
315298918244,3330,1630,1064633257,516575,VALORANT,1,fr,Vxperrr06
316544686582,3330,1630,868980691,27471,Minecraft,1,pt,NothAndNull
316410974427,3330,1630,1281905762,27471,Minecraft,1,en,dou2ble_deu2ces
314968158547,3330,1630,947275740,27471,Minecraft,1,en,invictus2321
316402096859,3330,1630,805333020,32982,Grand Theft Auto V,1,en,SleeeplessGaming
315312265831,3330,1630,1396782451,32982,Grand Theft Auto V,1,en,emsalsizz_06
316317177818,3330,1630,161500790,32982,Grand Theft Auto V,1,en,SammieTheKidd
316082672732,3330,1630,190835117,516575,VALORANT,1,en,laijeh
316199382880,3330,1630,556896120,516575,VALORANT,1,en,joxyy1x
315266288738,3330,1630,1392031457,27471,Minecraft,1,en,sypresvolx_twitch
316322694234,3330,1630,779342191,26936,Music,1,en,lyt0000
315867438295,3330,1630,441059029,32982,Grand Theft Auto V,1,en,holy_ghxst
316410993627,3330,1630,687237884,27471,Minecraft,1,es,mr_grim_reapertv
316314381146,3330,1630,1373889836,32982,Grand Theft Auto V,1,en,manman816boi
315564455014,3330,1630,513963942,516575,VALORANT,2,de,khr1s__
314967745491,3330,1630,885918973,27471,Minecraft,2,en,MeiAndHisDad
315867453399,3330,1630,1238236981,32982,Grand Theft Auto V,2,en,imbadatthistoo
316082635612,3330,1630,242549520,516575,VALORANT,2,en,Greninja_Rivals
316558863222,3330,1630,620243540,27471,Minecraft,2,es,MichitasY
316692063988,3330,1630,471735023,32982,Grand Theft Auto V,2,pt,VIOLAJRTV
316269832281,3330,1630,790715022,516575,VALORANT,2,en,instxnct___
315266338658,3330,1630,1062451483,516575,VALORANT,2,en,xLVMH
316400750683,3330,1630,790319544,32982,Grand Theft Auto V,1,en,mrnobodytheloser13
315315755491,3330,1630,1346560317,26936,Music,1,en,RelaxingSoundsUK
315298800612,3330,1630,89213409,516575,VALORANT,1,fr,Lothudy
316408313435,3330,1630,1214982223,32982,Grand Theft Auto V,1,en,aqm2016
316410815195,3330,1630,1321103400,32982,Grand Theft Auto V,1,en,toxicgod93
316692586228,3330,1630,1223182617,27471,Minecraft,1,en,deathnight508
315312498151,3330,1630,977674941,516575,VALORANT,1,it,yezy_4l
316321365978,3330,1630,552612551,516575,VALORANT,1,en,notbigsleep
314928291153,3330,1630,736344565,32982,Grand Theft Auto V,1,en,madmax_verkai2
315298509412,3330,1630,717616742,518184,Phasmophobia,1,en,bornriskyzombie
316141552478,3330,1630,557637153,27471,Minecraft,1,en,candlesticky
315468450533,3330,1630,712400026,32982,Grand Theft Auto V,1,de,realexdify
316203000032,3330,1630,1317061231,27471,Minecraft,1,en,fluxx0nt0p
316268439641,3330,1630,564871732,27471,Minecraft,1,en,idrcaboutausername
316267942105,3330,1630,1278246851,32982,Grand Theft Auto V,1,en,we_up_nxt
316265989337,3330,1630,1071785467,27471,Minecraft,1,en,datdatttts
316320555354,3330,1630,697957159,27471,Minecraft,1,en,gronkknock
316116828126,3330,1630,621607936,26936,Music,1,en,KuboMusic
314832162262,3330,1630,87353415,27471,Minecraft,1,no,Deltidspus
316268874201,3330,1630,1352429275,27471,Minecraft,1,en,nodnalttv
316406432219,3330,1630,1225063720,32982,Grand Theft Auto V,1,en,im5iveee
314851024340,3330,1630,667601205,516575,VALORANT,1,ru,Belasha2148
316320600538,3330,1630,222332927,32982,Grand Theft Auto V,1,en,XPcharles
316081764700,3330,1630,741539854,516575,VALORANT,1,en,h0mbiii
316409997659,3330,1630,507677544,27471,Minecraft,1,en,linaxxmarie
316082417244,3330,1630,783998099,516575,VALORANT,1,en,unpopularsilent
316081161436,3330,1630,1399513415,32982,Grand Theft Auto V,1,es,dayyy_444
316411675995,3330,1630,253226276,27471,Minecraft,1,es,AlbertoC_30
315457007717,3330,1630,763080166,26936,Music,1,nl,koekstadfm
315396449783,3330,1630,158344523,32982,Grand Theft Auto V,1,en,zuluhavoc
316194421088,3330,1630,141195330,26936,Music,1,en,AphenixMusic
316689673588,3330,1630,966501618,32982,Grand Theft Auto V,1,pt,corvao_rp
316141414622,3330,1630,1367313804,32982,Grand Theft Auto V,1,en,himothy_hnic
316202921056,3330,1630,1195264135,27471,Minecraft,1,en,TomGunn1986
316141626462,3330,1630,1047783917,27471,Minecraft,1,en,poster7259_
316412357595,3330,1630,930374481,32982,Grand Theft Auto V,1,en,BlakkRamboGaming
316201559136,3330,1630,889858514,32982,Grand Theft Auto V,1,en,TTG_mucka
316200740448,3330,1630,781713761,32982,Grand Theft Auto V,1,en,agsnoop_202
314808304853,3330,1630,485729056,32982,Grand Theft Auto V,1,en,nocturnekp
316409657435,3330,1630,117922301,32982,Grand Theft Auto V,1,en,dragonzslumber
315867372631,3330,1630,71256967,27471,Minecraft,1,en,Nika_Was_Here
316197368928,3330,1630,179473597,32982,Grand Theft Auto V,1,en,EvilAroma
315265113058,3330,1630,893634108,26936,Music,1,fr,dhectar08
316082451164,3330,1630,643550503,27471,Minecraft,1,en,xxstealthgodx
315460616421,3330,1630,577405110,26936,Music,1,es,NODIVADJS
316082315100,3330,1630,1222214498,32982,Grand Theft Auto V,1,en,tryhardtv555s_fan
316412704987,3330,1630,554922200,27471,Minecraft,1,en,Minejack_777
315266097250,3330,1630,48030485,32982,Grand Theft Auto V,1,pt,Firmeza10x
